X,Y,FID,Plant_Name,Owner,Operator,City,State,County,ZipCode,Period,Cap_MMcfd,Plant_Flow,BTU_Conten,Dry_Stor,NGL_Stor,Longitude,Latitude,Source
-105.77784,43.85235,1,50 Buttes Processing Facility,"Thunder Creek Gas Services,L.L.C.","Thunder Creek Gas Services, L.L.C.",Gillette,WY,Campbell,82718,2017,90,81,1274,0,15657,-105.77784,43.85235,"EIA-757, Natural Gas Processing Plant Survey"
-100.11626,35.5464,2,Ajax Plant,"Enbridge Pipelines (Texas Gathering), L.P.",Enbridge Pipelines (Texas Gathering) L.P.,Wheeler,TX,Wheeler,79096,2017,150,150,1192,0,0,-100.11626,35.5464,"EIA-757, Natural Gas Processing Plant Survey"
-95.51805,31.29948,3,Alamo,La Grange Acquisition LP,Energy Transfer Company,Crockett,TX,Houston,75835,2017,200,125,1140,0,0,-95.51805,31.29948,"EIA-757, Natural Gas Processing Plant Survey"
-100.14509,35.61864,4,Allison Gas Plant,Enbridge Pipelines (Texas Gathering) L.P., , ,TX,Wheeler,79003,2017,150,90,1169,0,0,-100.14509,35.61864,"EIA-757, Natural Gas Processing Plant Survey"
-111.95981,48.73838,5,Aloe Ventures,Lamarsa Corp,Lamarsa Corp,Shelby,MT,Toole,59474-0766,2017,600,600,1000,0,0,-111.95981,48.73838,"EIA-757, Natural Gas Processing Plant Survey"
-110.32903,40.35807,6,Altamont Gas Plant,Kinder Morgan,Kinder Morgan - Altamont,Altamont,UT,Duchesne,84001,2017,80,76,1200,0,22476,-110.32903,40.35807,"EIA-757, Natural Gas Processing Plant Survey"
-97.79838,35.1627,7,Amber Gas Plant, , ,Amber,OK,Grady,73004-5511,2017,21,6,1350,0,380,-97.79838,35.1627,"EIA-757, Natural Gas Processing Plant Survey"
-111.04083,41.06722,8,Anschutz Ranch East,Merit Energy Company,Merit Energy Company,Evanston,WY,Uinta,82930,2017,55,10,1026,0,10000,-111.04083,41.06722,"EIA-757, Natural Gas Processing Plant Survey"
-99.78365,35.83074,9,Antelope Hills Natural Gas Processing,ONEOK,ONEOK,Crawford,OK,Roger Mills,73638,2017,50,48,1175,0,650,-99.78365,35.83074,"EIA-757, Natural Gas Processing Plant Survey"
-100.1206,35.9983,10,Antelope Hills Plant,ETC Field Services LLC,ETC Field Services LLC,Canadian,TX,Hemphill,79014,2017,135,79,1287,0,864,-100.1206,35.9983,"EIA-757, Natural Gas Processing Plant Survey"
