GEOID,2019_Population,INTPTLAT,INTPTLONG                                                                                                               
1001,55869,32.532237,-86.64644
1003,223234,30.659218,-87.746067
1005,24686,31.870253,-85.405104
1007,22394,33.015893,-87.127148
1009,57826,33.977358,-86.56644
1011,10101,32.101759,-85.717261
1013,19448,31.751667,-86.681969
1015,113605,33.770516,-85.827909
1017,33254,32.915504,-85.394032
1019,26196,34.069515,-85.654242
1021,44428,32.854051,-86.726607
1023,12589,31.990954,-88.248889
1025,23622,31.685521,-87.818624
1027,13235,33.2704,-85.863525
1029,14910,33.671964,-85.516126
1031,52342,31.402258,-85.989602
1033,55241,34.703112,-87.801457
1035,12067,31.430926,-86.988722
1037,10663,32.931445,-86.243482
1039,37049,31.243987,-86.448721
1041,13772,31.730311,-86.320038
1043,83768,34.131923,-86.869267
1045,49172,31.430654,-85.609476
1047,37196,32.333526,-87.11436
1049,71513,34.460915,-85.804021
1051,81209,32.597229,-86.142735
1053,36633,31.122287,-87.16841
1055,102268,34.047641,-86.034263
1057,16302,33.716157,-87.764292
1059,31362,34.441989,-87.842814
1061,26271,31.092382,-85.821022
1063,8111,32.844497,-87.9642
1065,14651,32.752796,-87.623061
1067,17205,31.516978,-85.239971
1069,105882,31.158183,-85.296411
1071,51626,34.764114,-85.980056
1073,658573,33.553444,-86.896536
1075,13805,33.787085,-88.087431
1077,92729,34.904122,-87.650997
1079,32924,34.529776,-87.321865
1081,164542,32.604064,-85.353048
1083,98915,34.810239,-86.981399
1085,9726,32.147888,-86.650586
1087,18068,32.387027,-85.692887
1089,372909,34.764238,-86.55108
1091,18863,32.247591,-87.791091
1093,29709,34.138219,-87.881551
1095,96774,34.309564,-86.321668
1097,413210,30.684572,-88.196568
1099,20733,31.580332,-87.383266
1101,226486,32.202881,-86.204461
1103,119679,34.454484,-86.846402
1105,8923,32.639005,-87.293827
1107,19930,33.2968,-88.096864
1109,33114,31.798653,-85.941608
1111,22722,33.296461,-85.464064
1113,57961,32.289811,-85.18698
1115,89512,33.719491,-86.311327
1117,217702,33.263043,-86.678089
1119,12427,32.597481,-88.200057
1121,79978,33.369314,-86.17593
1123,40367,32.863308,-85.799618
1125,209355,33.29022,-87.522783
1127,63521,33.791558,-87.301094
1129,16326,31.408503,-88.212404
1131,10373,31.990082,-87.304935
1133,23629,34.154566,-87.365346
2013,3337,55.245044,-161.997477
2016,5634,51.959447,178.338813
2020,288000,61.17425,-149.284329
2050,18386,60.929141,-160.152625
2060,836,58.741661,-156.966805
2063,#N/A,60.488474,-146.203092
2066,#N/A,62.034479,-143.922167
2068,2097,63.682039,-150.027016
2070,4916,59.543326,-158.267123
2090,96849,64.676044,-146.548159
2100,2530,59.098404,-135.575791
2105,2148,58.403336,-135.884909
2110,31974,58.37291,-134.178445
2122,58708,60.360766,-152.05264
2130,13901,55.449938,-131.106685
2150,12998,57.7044,-153.918372
2158,8314,62.283588,-163.190171
2164,1592,58.108507,-156.413413
2170,108317,62.265626,-149.503993
2180,10004,64.783686,-164.188912
2185,9832,69.449343,-153.47283
2188,7621,67.005066,-160.021086
2195,3266,57.112458,-133.008598
2198,6203,55.682773,-133.162389
2220,8493,57.193204,-135.367396
2230,1183,59.560379,-135.338279
2240,6893,63.864997,-143.218628
2275,2502,56.180779,-132.026788
2282,579,60.017453,-140.416942
2290,5230,65.375727,-151.57785
4001,71887,35.385084,-109.490172
4003,125922,31.840129,-109.775163
4005,143476,35.829692,-111.773728
4007,54018,33.789618,-110.81187
4009,38837,32.931828,-109.87831
4011,9498,33.238872,-109.242323
4012,21108,33.72761,-114.038806
4013,4485414,33.345176,-112.49893
4015,212181,35.717705,-113.749689
4017,110924,35.390785,-110.321025
4019,1047279,32.128038,-111.783657
4021,462789,32.918521,-111.366339
4023,46498,31.525733,-110.845228
4025,235099,34.631071,-112.577225
4027,213787,32.773942,-113.910905
5001,17486,34.28957,-91.376547
5003,19657,33.190835,-91.772267
5005,41932,36.280268,-92.329949
5007,279141,36.337819,-94.256298
5009,37432,36.304299,-93.079236
5011,10763,33.466549,-92.169156
5013,5189,33.56046,-92.513879
5015,28380,36.33737,-93.540972
5017,10118,33.267139,-91.297158
5019,22320,34.053316,-93.176208
5021,14551,36.367302,-90.418704
5023,24919,35.566315,-92.05995
5025,7956,33.893201,-92.188714
5027,23457,33.223038,-93.232843
5029,20846,35.265702,-92.689248
5031,110332,35.827729,-90.631421
5033,63257,35.583011,-94.236219
5035,47955,35.197559,-90.30512
5037,16419,35.285692,-90.763984
5039,7009,33.967823,-92.653999
5041,11361,33.828752,-91.244103
5043,18219,33.587242,-91.722778
5045,126007,35.146548,-92.336928
5047,17715,35.508558,-93.887665
5049,12477,36.381322,-91.819285
5051,99386,34.578852,-93.146932
5053,18265,34.285568,-92.422979
5055,45325,36.120607,-90.566346
5057,21532,33.735953,-93.664355
5059,33771,34.315177,-92.944147
5061,13202,34.083064,-93.990931
5063,37825,35.737499,-91.559942
5065,13629,36.094879,-91.913625
5067,16719,35.596467,-91.223205
5069,66824,34.277239,-91.929673
5071,26578,35.573359,-93.466322
5073,6624,33.240629,-93.611514
5075,16406,36.041098,-91.101153
5077,8857,34.779505,-90.779717
5079,13024,33.956385,-91.742355
5081,12259,33.701941,-94.236287
5083,21466,35.218654,-93.72091
5085,73309,34.755114,-91.894132
5087,16576,36.012545,-93.724053
5089,16694,36.266664,-92.678577
5091,43257,33.305505,-93.901502
5093,40651,35.766944,-90.052207
5095,6701,34.679512,-91.20331
5097,8986,34.545656,-93.664153
5099,8252,33.666699,-93.305072
5101,7753,35.910742,-93.215898
5103,23382,33.591168,-92.878413
5105,10455,34.946363,-92.926877
5107,17782,34.423687,-90.855593
5109,10718,34.158191,-93.658659
5111,23528,35.56887,-90.681104
5113,19964,34.490915,-94.230884
5115,64072,35.456557,-93.026818
5117,8062,34.831116,-91.55362
5119,391911,34.770311,-92.312996
5121,17958,36.341298,-91.028441
5123,24994,35.022838,-90.751506
5125,122437,34.648525,-92.674463
5127,10281,34.858869,-94.063641
5129,7881,35.896387,-92.695888
5131,127827,35.196981,-94.274989
5133,17007,33.994877,-94.243279
5135,17442,36.173399,-91.471069
5137,12506,35.857001,-92.140482
5139,38682,33.168219,-92.598145
5141,16545,35.582953,-92.515976
5143,239187,35.978001,-94.217269
5145,78753,35.255118,-91.753034
5147,6320,35.192777,-91.244535
5149,21341,34.997713,-93.408303
