datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
1/1/2020 4:00:00 AM,12/31/2019 11:00:00 PM,MIDATL,-1.149
1/1/2020 4:00:00 AM,12/31/2019 11:00:00 PM,OTHER,-0.017
1/1/2020 4:00:00 AM,12/31/2019 11:00:00 PM,SOUTH,-1.661
1/1/2020 4:00:00 AM,12/31/2019 11:00:00 PM,WEST,-0.236
1/1/2020 4:00:00 AM,12/31/2019 11:00:00 PM,RTO,-3.046
1/1/2020 4:00:00 AM,12/31/2019 11:00:00 PM,RFC,-1.385
1/1/2020 3:00:00 AM,12/31/2019 10:00:00 PM,MIDATL,-1.171
1/1/2020 3:00:00 AM,12/31/2019 10:00:00 PM,OTHER,-0.018
1/1/2020 3:00:00 AM,12/31/2019 10:00:00 PM,SOUTH,-1.675
1/1/2020 3:00:00 AM,12/31/2019 10:00:00 PM,WEST,-0.215
1/1/2020 3:00:00 AM,12/31/2019 10:00:00 PM,RTO,-3.061
1/1/2020 3:00:00 AM,12/31/2019 10:00:00 PM,RFC,-1.386
1/1/2020 2:00:00 AM,12/31/2019 9:00:00 PM,MIDATL,-1.120
1/1/2020 2:00:00 AM,12/31/2019 9:00:00 PM,OTHER,-0.017
1/1/2020 2:00:00 AM,12/31/2019 9:00:00 PM,SOUTH,-1.744
1/1/2020 2:00:00 AM,12/31/2019 9:00:00 PM,WEST,-0.229
1/1/2020 2:00:00 AM,12/31/2019 9:00:00 PM,RTO,-3.093
1/1/2020 2:00:00 AM,12/31/2019 9:00:00 PM,RFC,-1.349
1/1/2020 1:00:00 AM,12/31/2019 8:00:00 PM,MIDATL,-1.162
1/1/2020 1:00:00 AM,12/31/2019 8:00:00 PM,OTHER,-0.017
1/1/2020 1:00:00 AM,12/31/2019 8:00:00 PM,SOUTH,-1.692
1/1/2020 1:00:00 AM,12/31/2019 8:00:00 PM,WEST,-0.236
1/1/2020 1:00:00 AM,12/31/2019 8:00:00 PM,RTO,-3.090
1/1/2020 1:00:00 AM,12/31/2019 8:00:00 PM,RFC,-1.398
1/1/2020 12:00:00 AM,12/31/2019 7:00:00 PM,MIDATL,-1.145
1/1/2020 12:00:00 AM,12/31/2019 7:00:00 PM,OTHER,-0.018
1/1/2020 12:00:00 AM,12/31/2019 7:00:00 PM,SOUTH,-1.726
1/1/2020 12:00:00 AM,12/31/2019 7:00:00 PM,WEST,-0.250
1/1/2020 12:00:00 AM,12/31/2019 7:00:00 PM,RTO,-3.121
1/1/2020 12:00:00 AM,12/31/2019 7:00:00 PM,RFC,-1.395
12/31/2019 11:00:00 PM,12/31/2019 6:00:00 PM,MIDATL,-1.155
12/31/2019 11:00:00 PM,12/31/2019 6:00:00 PM,OTHER,-0.025
