datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
1/1/2020 4:00:00 AM,12/31/2019 11:00:00 PM,MIDATL,771.132
1/1/2020 4:00:00 AM,12/31/2019 11:00:00 PM,SOUTH,261.857
1/1/2020 4:00:00 AM,12/31/2019 11:00:00 PM,WEST,4408.117
1/1/2020 4:00:00 AM,12/31/2019 11:00:00 PM,RTO,5441.106
1/1/2020 4:00:00 AM,12/31/2019 11:00:00 PM,RFC,5179.249
1/1/2020 3:00:00 AM,12/31/2019 10:00:00 PM,MIDATL,763.320
1/1/2020 3:00:00 AM,12/31/2019 10:00:00 PM,SOUTH,260.096
1/1/2020 3:00:00 AM,12/31/2019 10:00:00 PM,WEST,4648.179
1/1/2020 3:00:00 AM,12/31/2019 10:00:00 PM,RTO,5671.595
1/1/2020 3:00:00 AM,12/31/2019 10:00:00 PM,RFC,5411.499
1/1/2020 2:00:00 AM,12/31/2019 9:00:00 PM,MIDATL,784.608
1/1/2020 2:00:00 AM,12/31/2019 9:00:00 PM,SOUTH,249.813
1/1/2020 2:00:00 AM,12/31/2019 9:00:00 PM,WEST,4770.919
1/1/2020 2:00:00 AM,12/31/2019 9:00:00 PM,RTO,5805.340
1/1/2020 2:00:00 AM,12/31/2019 9:00:00 PM,RFC,5555.527
1/1/2020 1:00:00 AM,12/31/2019 8:00:00 PM,MIDATL,765.342
1/1/2020 1:00:00 AM,12/31/2019 8:00:00 PM,SOUTH,240.950
1/1/2020 1:00:00 AM,12/31/2019 8:00:00 PM,WEST,4889.071
1/1/2020 1:00:00 AM,12/31/2019 8:00:00 PM,RTO,5895.363
1/1/2020 1:00:00 AM,12/31/2019 8:00:00 PM,RFC,5654.413
1/1/2020 12:00:00 AM,12/31/2019 7:00:00 PM,MIDATL,749.716
1/1/2020 12:00:00 AM,12/31/2019 7:00:00 PM,SOUTH,170.977
1/1/2020 12:00:00 AM,12/31/2019 7:00:00 PM,WEST,4738.459
1/1/2020 12:00:00 AM,12/31/2019 7:00:00 PM,RTO,5659.152
1/1/2020 12:00:00 AM,12/31/2019 7:00:00 PM,RFC,5488.175
12/31/2019 11:00:00 PM,12/31/2019 6:00:00 PM,MIDATL,775.851
12/31/2019 11:00:00 PM,12/31/2019 6:00:00 PM,SOUTH,146.078
12/31/2019 11:00:00 PM,12/31/2019 6:00:00 PM,WEST,4551.133
12/31/2019 11:00:00 PM,12/31/2019 6:00:00 PM,RTO,5473.062
12/31/2019 11:00:00 PM,12/31/2019 6:00:00 PM,RFC,5326.984
12/31/2019 10:00:00 PM,12/31/2019 5:00:00 PM,MIDATL,749.258
12/31/2019 10:00:00 PM,12/31/2019 5:00:00 PM,SOUTH,150.887
12/31/2019 10:00:00 PM,12/31/2019 5:00:00 PM,WEST,5001.610
12/31/2019 10:00:00 PM,12/31/2019 5:00:00 PM,RTO,5901.755
12/31/2019 10:00:00 PM,12/31/2019 5:00:00 PM,RFC,5750.868
12/31/2019 9:00:00 PM,12/31/2019 4:00:00 PM,MIDATL,669.273
12/31/2019 9:00:00 PM,12/31/2019 4:00:00 PM,SOUTH,189.308
12/31/2019 9:00:00 PM,12/31/2019 4:00:00 PM,WEST,5494.073
12/31/2019 9:00:00 PM,12/31/2019 4:00:00 PM,RTO,6352.654
12/31/2019 9:00:00 PM,12/31/2019 4:00:00 PM,RFC,6163.346
12/31/2019 8:00:00 PM,12/31/2019 3:00:00 PM,MIDATL,597.459
12/31/2019 8:00:00 PM,12/31/2019 3:00:00 PM,SOUTH,244.275
12/31/2019 8:00:00 PM,12/31/2019 3:00:00 PM,WEST,5740.239
12/31/2019 8:00:00 PM,12/31/2019 3:00:00 PM,RTO,6581.973
12/31/2019 8:00:00 PM,12/31/2019 3:00:00 PM,RFC,6337.698
12/31/2019 7:00:00 PM,12/31/2019 2:00:00 PM,MIDATL,472.229
12/31/2019 7:00:00 PM,12/31/2019 2:00:00 PM,SOUTH,264.915
12/31/2019 7:00:00 PM,12/31/2019 2:00:00 PM,WEST,5938.314
12/31/2019 7:00:00 PM,12/31/2019 2:00:00 PM,RTO,6675.458
12/31/2019 7:00:00 PM,12/31/2019 2:00:00 PM,RFC,6410.543
12/31/2019 6:00:00 PM,12/31/2019 1:00:00 PM,MIDATL,471.204
12/31/2019 6:00:00 PM,12/31/2019 1:00:00 PM,SOUTH,238.130
12/31/2019 6:00:00 PM,12/31/2019 1:00:00 PM,WEST,6007.276
12/31/2019 6:00:00 PM,12/31/2019 1:00:00 PM,RTO,6716.610
12/31/2019 6:00:00 PM,12/31/2019 1:00:00 PM,RFC,6478.480
12/31/2019 5:00:00 PM,12/31/2019 12:00:00 PM,MIDATL,442.261
12/31/2019 5:00:00 PM,12/31/2019 12:00:00 PM,SOUTH,160.523
12/31/2019 5:00:00 PM,12/31/2019 12:00:00 PM,WEST,6088.877
12/31/2019 5:00:00 PM,12/31/2019 12:00:00 PM,RTO,6691.661
