census_region,source key,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
New England,ELEC.COST_BTU.COW-NEW-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Middle Atlantic,ELEC.COST_BTU.COW-MAT-98.M,2.14,1.98,1.96,1.81,1.88,1.78,1.9,1.84,1.77,1.68,1.9,1.83
East North Central,ELEC.COST_BTU.COW-ENC-98.M,2.01,2.02,2,1.99,1.99,1.95,2.01,1.96,1.96,1.94,1.96,1.93
West North Central,ELEC.COST_BTU.COW-WNC-98.M,1.65,1.65,1.63,1.63,1.64,1.63,1.62,1.58,1.61,1.61,1.66,1.61
South Atlantic,ELEC.COST_BTU.COW-SAT-98.M,2.71,2.71,2.62,2.58,2.55,2.54,2.58,2.55,2.54,2.49,2.47,2.45
East South Central,ELEC.COST_BTU.COW-ESC-98.M,W,W,W,W,W,W,W,W,W,W,W,W
West South Central,ELEC.COST_BTU.COW-WSC-98.M,1.95,1.91,1.9,1.96,1.88,1.85,1.85,1.82,1.69,1.74,1.77,1.65
Mountain,ELEC.COST_BTU.COW-MTN-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Pacific Contiguous,ELEC.COST_BTU.COW-PCC-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Pacific Noncontiguous,ELEC.COST_BTU.COW-PCN-98.M,W,3.26,W,W,W,W,3.55,W,W,W,W,W
