census_region,source key,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
New England,ELEC.COST_BTU.NG-NEW-98.M,7.67,W,W,3.19,W,W,3.08,W,W,W,W,W
Middle Atlantic,ELEC.COST_BTU.NG-MAT-98.M,4.27,3.48,3.24,2.54,2.42,2.32,2.31,2.11,2.03,1.88,2.6,2.58
East North Central,ELEC.COST_BTU.NG-ENC-98.M,3.48,2.97,3.24,2.68,2.6,2.44,2.4,2.27,2.37,2.09,2.76,2.37
West North Central,ELEC.COST_BTU.NG-WNC-98.M,W,W,W,W,W,W,2.41,W,W,W,W,W
South Atlantic,ELEC.COST_BTU.NG-SAT-98.M,4.67,3.87,3.87,3.58,3.41,3.23,3.05,2.89,3.07,3.06,3.52,3.46
East South Central,ELEC.COST_BTU.NG-ESC-98.M,3.62,3.16,3.23,2.97,2.84,2.69,2.56,2.48,2.72,2.54,2.93,2.8
West South Central,ELEC.COST_BTU.NG-WSC-98.M,3.14,2.75,2.88,2.5,2.43,2.18,2.2,2.12,2.37,2.22,2.48,2.14
Mountain,ELEC.COST_BTU.NG-MTN-98.M,3.7,4.09,3.42,W,1.94,1.97,2.13,2.24,2.37,2.31,2.78,W
Pacific Contiguous,ELEC.COST_BTU.NG-PCC-98.M,W,6.37,4.79,2.82,2.75,2.56,2.77,2.69,2.89,2.94,3.33,3.68
Pacific Noncontiguous,ELEC.COST_BTU.NG-PCN-98.M,6.76,6.73,6.87,6.85,7,7.06,7.06,7.02,7.04,7,7.04,7.07
