census_region,source key,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
New England,ELEC.COST_BTU.PEL-NEW-98.M,9.75,W,14.25,W,16.85,15.04,13.99,16.62,W,14.04,14.68,W
Middle Atlantic,ELEC.COST_BTU.PEL-MAT-98.M,12.2,13.06,13.7,16.37,15.54,13.77,14.47,15.04,11.05,15.1,W,15.55
East North Central,ELEC.COST_BTU.PEL-ENC-98.M,13.77,W,15.58,16.65,16.01,14.1,14.67,14.07,14.92,15.45,15.27,14.95
West North Central,ELEC.COST_BTU.PEL-WNC-98.M,13.25,14.99,15.34,15.98,15.87,13.99,14.87,14.01,14.47,14.87,14.83,14.76
South Atlantic,ELEC.COST_BTU.PEL-SAT-98.M,13.55,14.9,15.9,15.78,W,W,15.06,14.29,12.19,14.69,14.88,15.06
East South Central,ELEC.COST_BTU.PEL-ESC-98.M,W,14.59,14.83,15.51,15.21,13.95,14.16,13.69,14.5,15.07,W,14.92
West South Central,ELEC.COST_BTU.PEL-WSC-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Mountain,ELEC.COST_BTU.PEL-MTN-98.M,W,W,W,W,W,W,W,W,16.85,16.33,W,17.59
Pacific Contiguous,ELEC.COST_BTU.PEL-PCC-98.M,W,W,W,0,W,W,W,W,W,W,W,W
Pacific Noncontiguous,ELEC.COST_BTU.PEL-PCN-98.M,W,W,W,W,W,W,W,W,W,W,W,W
