state,source key,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
Connecticut,ELEC.COST_BTU.COW-CT-98.M,0,0,0,0,0,0,0,0,0,0,0,0
Maine,ELEC.COST_BTU.COW-ME-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Massachusetts,ELEC.COST_BTU.COW-MA-98.M,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,ELEC.COST_BTU.COW-NH-98.M,0,0,0,0,3.54,0,0,0,0,0,3.13,3.18
Rhode Island,ELEC.COST_BTU.COW-RI-98.M,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,ELEC.COST_BTU.COW-VT-98.M,--,--,--,--,--,--,--,--,--,--,--,--
New Jersey,ELEC.COST_BTU.COW-NJ-98.M,W,W,W,W,W,W,W,W,W,W,W,W
New York,ELEC.COST_BTU.COW-NY-98.M,W,W,0,0,0,0,0,0,0,W,W,W
Pennsylvania,ELEC.COST_BTU.COW-PA-98.M,2.06,1.88,W,W,W,W,W,W,W,W,W,1.73
Illinois,ELEC.COST_BTU.COW-IL-98.M,1.86,1.86,W,1.81,W,W,W,1.77,W,W,1.79,W
Indiana,ELEC.COST_BTU.COW-IN-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Michigan,ELEC.COST_BTU.COW-MI-98.M,2.01,2.12,2.16,W,W,W,W,W,W,W,W,W
Ohio,ELEC.COST_BTU.COW-OH-98.M,W,W,1.88,W,1.75,1.75,1.79,W,1.77,1.76,W,1.75
Wisconsin,ELEC.COST_BTU.COW-WI-98.M,2.26,2.24,2.26,2.22,2.24,2.35,2.26,2.17,2.2,2.19,2.22,2.09
Iowa,ELEC.COST_BTU.COW-IA-98.M,1.6,1.55,1.59,1.54,1.54,1.55,1.54,1.54,1.52,1.53,1.53,1.54
Kansas,ELEC.COST_BTU.COW-KS-98.M,1.69,1.63,1.65,1.65,1.6,1.61,1.57,1.59,1.6,1.59,1.6,1.64
Minnesota,ELEC.COST_BTU.COW-MN-98.M,2.06,2.09,2.09,1.99,2,2.05,2.01,1.98,1.97,2,1.99,2
Missouri,ELEC.COST_BTU.COW-MO-98.M,1.72,1.7,1.7,1.74,1.66,1.62,1.65,1.63,1.63,1.66,1.65,1.66
Nebraska,ELEC.COST_BTU.COW-NE-98.M,1.27,1.23,1.19,1.23,1.26,1.24,1.26,1.22,1.23,1.22,1.24,1.2
North Dakota,ELEC.COST_BTU.COW-ND-98.M,1.51,1.61,1.53,1.56,1.6,1.81,1.58,1.47,1.67,1.73,1.92,1.63
South Dakota,ELEC.COST_BTU.COW-SD-98.M,1.98,2.04,1.78,1.68,1.8,1.69,1.92,2,1.64,1.59,1.57,1.86
Delaware,ELEC.COST_BTU.COW-DE-98.M,W,W,W,0,0,0,0,0,0,0,0,0
District Of Columbia,ELEC.COST_BTU.COW-DC-98.M,--,--,--,--,--,--,--,--,--,--,--,--
Florida,ELEC.COST_BTU.COW-FL-98.M,2.93,2.85,2.92,2.94,2.86,2.9,2.82,2.8,2.83,2.75,2.74,2.59
Georgia,ELEC.COST_BTU.COW-GA-98.M,2.7,2.75,2.74,2.69,2.72,2.76,2.73,2.68,2.68,2.6,2.6,2.64
Maryland,ELEC.COST_BTU.COW-MD-98.M,2.81,2.75,2.7,2.64,2.63,2.6,2.61,2.56,W,2.6,2.68,W
North Carolina,ELEC.COST_BTU.COW-NC-98.M,W,W,W,W,W,W,W,W,W,W,W,W
South Carolina,ELEC.COST_BTU.COW-SC-98.M,W,W,W,W,W,W,W,W,3.13,W,W,W
Virginia,ELEC.COST_BTU.COW-VA-98.M,2.96,W,3.11,W,W,W,W,W,W,W,2.59,2.67
West Virginia,ELEC.COST_BTU.COW-WV-98.M,2.06,2.06,2.08,2.07,2.07,2.07,2.12,2.15,2.09,2.09,2.11,2.06
Alabama,ELEC.COST_BTU.COW-AL-98.M,2.31,2.24,2.42,2.38,2.39,2.49,2.34,2.32,2.25,2.18,2.26,2.02
Kentucky,ELEC.COST_BTU.COW-KY-98.M,1.95,1.96,1.96,1.93,1.93,1.9,1.89,1.9,1.89,1.87,1.88,1.87
Mississippi,ELEC.COST_BTU.COW-MS-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Tennessee,ELEC.COST_BTU.COW-TN-98.M,2.44,2.21,2.1,2.24,2.16,2.14,2.03,2.06,2.01,2.13,2.28,2.06
Arkansas,ELEC.COST_BTU.COW-AR-98.M,W,W,W,W,W,W,W,W,W,W,W,W
