state,source key,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
Connecticut,ELEC.COST_BTU.PEL-CT-98.M,16.07,16.74,W,W,W,W,W,W,W,W,W,16.84
Maine,ELEC.COST_BTU.PEL-ME-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Massachusetts,ELEC.COST_BTU.PEL-MA-98.M,W,W,W,W,W,W,W,W,W,W,W,W
New Hampshire,ELEC.COST_BTU.PEL-NH-98.M,17.5,18.01,17.51,18.42,17.6,15.53,0,17.62,16.1,16.85,17.41,18.94
Rhode Island,ELEC.COST_BTU.PEL-RI-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Vermont,ELEC.COST_BTU.PEL-VT-98.M,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,ELEC.COST_BTU.PEL-NJ-98.M,W,W,15.28,16.35,W,14.08,13.75,W,12.87,W,W,W
New York,ELEC.COST_BTU.PEL-NY-98.M,W,W,13.44,18.22,W,11.89,13.96,W,W,W,W,W
Pennsylvania,ELEC.COST_BTU.PEL-PA-98.M,12.64,13.28,15.65,15.94,15.51,14.1,14.62,15.01,W,15.05,14.98,15.23
Illinois,ELEC.COST_BTU.PEL-IL-98.M,19.67,19.44,W,17.15,W,15.21,W,W,15.67,W,17.11,W
Indiana,ELEC.COST_BTU.PEL-IN-98.M,13.63,15.23,15.41,15.71,15.84,14.04,14.42,14.13,15.54,15.28,14.76,15.5
Michigan,ELEC.COST_BTU.PEL-MI-98.M,11.83,15.82,15.19,15.62,15.3,13.44,13.89,13.35,14.37,14.23,14.6,14.03
Ohio,ELEC.COST_BTU.PEL-OH-98.M,13.39,15.25,W,17.11,W,14.4,W,W,15.01,W,15.91,W
Wisconsin,ELEC.COST_BTU.PEL-WI-98.M,11.15,W,14.75,14.15,15.11,12.35,13.49,14.83,12.37,12.53,12.95,13.4
Iowa,ELEC.COST_BTU.PEL-IA-98.M,13.61,14.43,15.47,15.77,15.71,13.85,14.29,13.97,13.82,14.52,14.87,14.56
Kansas,ELEC.COST_BTU.PEL-KS-98.M,14.11,14.94,15.82,16.15,15.99,13.86,14.86,14.01,14.84,14.95,15.18,14.67
Minnesota,ELEC.COST_BTU.PEL-MN-98.M,10.5,17.36,15.29,16.03,15.98,14.22,18.55,13.89,15.13,14.9,13.92,14.46
Missouri,ELEC.COST_BTU.PEL-MO-98.M,13.33,14.96,15.58,16.1,15.67,14.14,14.54,14.12,13.98,15.17,14.8,14.69
Nebraska,ELEC.COST_BTU.PEL-NE-98.M,13.85,15.05,15.1,15.86,15.81,13.97,14.46,13.9,14.28,14.81,14.64,16.23
North Dakota,ELEC.COST_BTU.PEL-ND-98.M,13.35,14.39,14.38,15.87,16.31,14.11,14.81,14.18,14.23,14.42,15.24,15.29
South Dakota,ELEC.COST_BTU.PEL-SD-98.M,12.96,14.39,14.81,15.46,15.34,13.49,14.18,13.9,14.02,14.36,14.38,14.3
Delaware,ELEC.COST_BTU.PEL-DE-98.M,0,0,0,0,0,0,W,W,0,W,0,W
District Of Columbia,ELEC.COST_BTU.PEL-DC-98.M,--,--,--,--,--,--,--,--,--,--,--,--
Florida,ELEC.COST_BTU.PEL-FL-98.M,13.48,14.68,16.19,16.19,16.31,14.51,15.1,13.93,15.53,14.9,14.89,15.59
Georgia,ELEC.COST_BTU.PEL-GA-98.M,W,W,W,W,W,W,W,W,W,W,W,W
Maryland,ELEC.COST_BTU.PEL-MD-98.M,14.33,W,W,W,W,W,W,13.49,W,13.86,14.64,W
North Carolina,ELEC.COST_BTU.PEL-NC-98.M,W,W,W,W,W,W,W,W,W,W,W,W
