Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit
T B Simon Power Plant,10328_G_GEN7,10328,G,GEN7,,Combustion Turbine,IC Engine,MIS_LMI,Michigan,26,Ingham,65,26065,9,9905,2021,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
T B Simon Power Plant,10328_G_GEN8,10328,G,GEN8,,Combustion Turbine,IC Engine,MIS_LMI,Michigan,26,Ingham,65,26065,9,9905,2021,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
T B Simon Power Plant,10328_G_GEN9,10328,G,GEN9,,Combustion Turbine,IC Engine,MIS_LMI,Michigan,26,Ingham,65,26065,9,9905,2021,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Marina Landfill Gas,10748_G_U3J17,10748,G,U3J17,,Landfill Gas,,WEC_CALN,California,6,Monterey,53,06053,1,8513,2017,9999,,,N,Landfill Gas,,,,,,,,,,,,,,0.09,0.09,0.09,0.09,,,,,,,,,,,
Bellevue,1126_G_1A,1126,G,1A,,Combustion Turbine,IC Engine,MIS_IA,Iowa,19,Jackson,97,19097,1.7,9905,2021,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Moose Lake,1996_G_8,1996,G,8,,Combustion Turbine,IC Engine,MIS_MNWI,Minnesota,27,Carlton,17,27017,2,9905,2019,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Benndale,2068_G_BENU1,2068,G,BENU1,,Combustion Turbine,IC Engine,MIS_MS,Mississippi,28,George,39,28039,11.3,9905,2020,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Benndale,2068_G_BENU2,2068,G,BENU2,,Combustion Turbine,IC Engine,MIS_MS,Mississippi,28,George,39,28039,11.3,9905,2020,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Winnebago County Landfill Gas,50936_G_EG2R,50936,G,EG2R,,Landfill Gas,,MIS_WUMS,Wisconsin,55,Winnebago,139,55139,0.6,8513,2020,9999,,,N,Landfill Gas,,,,,,,,,,,,,,0.09,0.09,0.09,0.09,,,,,,,,,,,
Alliant SBD 9301 Prairie Farms,54735_G_0081,54735,G,0081,,Combustion Turbine,IC Engine,MIS_IA,Iowa,19,Dubuque,61,19061,0.6,9905,2019,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Security,55556_G_GEN5,55556,G,GEN5,,Landfill Gas,,MIS_WOTA,Texas,48,Montgomery,339,48339,1.7,8513,2003,9999,,,N,Landfill Gas,,,,,,,,,,,,,,0.09,0.09,0.09,0.09,,,,,,,,,,,
Two Pine Landfill Gas Recovery,56523_G_GEN 7,56523,G,GEN 7,,Landfill Gas,,MIS_AR,Arkansas,5,Pulaski,119,05119,0.8,8513,2017,9999,,,N,Landfill Gas,,,,,,,,,,,,,,0.09,0.09,0.09,0.09,,,,,,,,,,,
North Brawley Geothermal Plant,56832_G_GE5,56832,G,GE5,,Geothermal,,WECC_IID,California,6,Imperial,25,06025,10.7,30000,2009,9999,,,N,Geothermal,,,,,,,,,,,,,,0,0,0,0,0.4625,0.4625,0.4625,,,,,,,,
