Model,Type,Stage,Unit,VOC,NOx,PM10,PM2.5,SOx,GHG
CV,Variable,Operation,g/mi,0.219,0.111,0.023,0.009,0.002,330.535
CV,Variable,WTP,g/mi,0.127,0.146,0.014,0.010,0.070,80.200
BEV300,Fixed,Battery.Co.Mine,g,3.838,26.826,314.403,33.852,0.632,11604.117
BEV300,Fixed,Battery.Co.Prod,g,14.333,86.749,8.722,5.986,335.579,79913.868
BEV300,Fixed,Battery.Cu.Mine,g,0.682,5.162,1.763,0.874,2.096,5596.005
BEV300,Fixed,Battery.Cu.Prod,g,7.623,71.144,8.636,5.317,3513.445,66482.994
BEV300,Fixed,Battery.Graphite.Prod,g,28.407,349.577,135.115,67.052,1870.120,123725.793
BEV300,Fixed,Battery.Li.Prod,g,19.475,169.816,31.181,21.975,146.556,119207.719
BEV300,Fixed,Battery.Mn.Mine,g,0.776,5.271,25.054,12.556,3.477,0.074
BEV300,Fixed,Battery.Ni.Mine,g,3.346,67.584,5.381,4.104,40.722,21250.733
BEV300,Fixed,Battery.Ni.Prod,g,21.639,175.135,64.510,36.036,7165.577,93129.761
BEV300,Fixed,Battery.Remainder,g,782.871,5239.016,2608.588,872.647,38643.471,4430666.359
BEV300,Fixed,Battery.Total,g,882.989,6196.280,3203.352,1060.399,51721.675,4951577.423
BEV300,Fixed,Car.Cu.Mine,g,3.615937939,24.35192388,6.435510925,3.162347833,21.28651163,20450.73547
BEV300,Fixed,Car.Cu.Prod,g,22.18263361,390.7605483,25.288808,15.74440747,3451.009417,186583.8283
BEV300,Fixed,Car.Remainder,g,6306.51,4607.2,1959.53,912.78,14636.78,4694669.37
BEV300,Fixed,Total,g,7215.297,11218.592,5194.606,1992.086,69830.750,9853281.357
CV,Fixed,Car.Cu.Mine,g,1.296247511,8.729718609,2.307012774,1.133643767,7.63082447,7331.214028
CV,Fixed,Car.Cu.Prod,g,7.952067785,140.0804982,9.065574402,5.644081656,1237.123657,66886.88441
CV,Fixed,Car.Remainder,g,6824.823685,5136.332783,2238.696413,1042.793275,16400.33452,5114470.989
CV,Fixed,Total,g,6834.072,5285.143,2250.069,1049.571,17645.089,5188689.087
HEV,Fixed,Battery.Co.Mine,g,0.869,5.905,55.191,6.010,46.100,3399.013
HEV,Fixed,Battery.Co.Prod,g,2.514,15.764,1.788,1.134,15.099,15047.818
HEV,Fixed,Battery.Cu.Mine,g,0.053,0.399,0.136,0.068,0.162,432.628
HEV,Fixed,Battery.Cu.Prod,g,0.589,5.500,0.668,0.411,271.625,5139.807
HEV,Fixed,Battery.Graphite.Prod,g,0.000,0.000,0.000,0.000,0.000,0.000
HEV,Fixed,Battery.Li.Prod,g,0.000,0.000,0.000,0.000,0.000,0.000
HEV,Fixed,Battery.Mn.Mine,g,0.000,0.000,0.000,0.000,0.000,0.000
HEV,Fixed,Battery.Ni.Mine,g,17.855,138.039,152.596,101.169,22066.180,96480.194
HEV,Fixed,Battery.Ni.Prod,g,9.737,37.374,49.910,2.139,584.582,36320.274
HEV,Fixed,Battery.Remainder,g,62.581,131.736,42.272,18.327,324.301,153096.565
HEV,Fixed,Battery.Total,g,94.199,334.717,302.561,129.258,23308.049,309916.298
HEV,Fixed,Car.Cu.Mine,g,2.909728222,19.5958784,5.178625318,2.544726401,17.1291556,16456.61047
HEV,Fixed,Car.Cu.Prod,g,17.85026074,314.443172,20.34978464,12.6694505,2777.011017,150143.1275
HEV,Fixed,Car.Remainder,g,6953.342305,5241.649411,2349.751073,1098.025331,17176.82019,5292367.652
HEV,Fixed,Total,g,7068.301,5910.406,2677.840,1242.498,43279.009,5768883.688
PHEV20,Fixed,Battery.Co.Mine,g,0.993,6.942,81.362,8.760,0.163,3002.957
PHEV20,Fixed,Battery.Co.Prod,g,3.709,22.449,2.257,1.549,86.842,20680.410
PHEV20,Fixed,Battery.Cu.Mine,g,0.176,1.336,0.456,0.226,0.542,1448.155
PHEV20,Fixed,Battery.Cu.Prod,g,1.973,18.411,2.235,1.376,909.222,17204.718
PHEV20,Fixed,Battery.Graphite.Prod,g,7.351,90.465,34.966,17.352,483.957,32018.223
PHEV20,Fixed,Battery.Li.Prod,g,5.040,43.946,8.069,5.687,37.926,30849.020
PHEV20,Fixed,Battery.Mn.Mine,g,0.201,1.364,6.483,3.249,0.900,0.019
PHEV20,Fixed,Battery.Ni.Mine,g,0.866,17.490,1.393,1.062,10.538,5499.344
PHEV20,Fixed,Battery.Ni.Prod,g,5.600,45.322,16.694,9.326,1854.335,24100.468
PHEV20,Fixed,Battery.Remainder,g,91.497,538.832,217.063,79.345,2902.482,542347.756
PHEV20,Fixed,Battery.Total,g,117.406,786.557,370.979,127.932,6286.909,677151.070
PHEV20,Fixed,Car.Cu.Mine,g,,,,,,
PHEV20,Fixed,Car.Cu.Prod,g,,,,,,
PHEV20,Fixed,Car.Remainder,g,,,,,,
PHEV20,Fixed,Total,g,117.406,786.557,370.979,127.932,6286.909,677151.070
