Model,Type,Stage,Unit,CO2,"CO2 (VOC, CO, CO2)",CH4,N2O,GHG,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC,
CV,Fixed,Battery.Cu.Mine,g,0,0,0,0,0,0,0,0,0,0,0,0,0,
CV,Fixed,Battery.Cu.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0,
CV,Fixed,Battery.Li.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0,
CV,Fixed,Battery.Graphite.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0,
CV,Fixed,Battery.Ni.Mine,g,0,0,0,0,0,0,0,0,0,0,0,0,0,
CV,Fixed,Battery.Ni.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0,
CV,Fixed,Battery.Mn.Mine,g,0,0,0,0,0,0,0,0,0,0,0,0,0,
CV,Fixed,Battery.Co.Mine,g,0,0,0,0,0,0,0,0,0,0,0,0,0,
CV,Fixed,Battery.Co.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0,
CV,Fixed,Battery.Remainder,g,33193.777,33318.745,177.06,0.61,38792.095,20.959,37.956,44.072,49.855,24.614,480.052,0.213,0.515,
CV,Fixed,Battery.Total,g,33193.777,33318.745,177.06,0.61,38792.095,20.959,37.956,44.072,49.855,24.614,480.052,0.213,0.515,
CV,Fixed,Car.Cu.Mine,g,6762.787,6776.442,12.144,0.089,7164.45,0.873,6.959,6.609,2.258,1.119,2.684,0.02,0.082,
CV,Fixed,Car.Cu.Prod,g,79423.056,79556.974,169.75,1.764,85116.817,9.76,65.863,91.084,11.056,6.807,4498.192,1.39,1.457,
CV,Fixed,Car.Remainder,g,5234061.553,5365161.371,13973.527,133.333,5880101.773,32624.089,18722.714,5853.833,2300.962,1091.412,14935.672,33.683,75.61,
CV,Fixed,Total,g,5353441.174,5484813.532,14332.481,135.796,6011175.135,32655.681,18833.492,5995.598,2364.131,1123.953,19916.599,35.307,77.664,
HEV,Fixed,Battery.Cu.Mine,g,408.373,409.198,0.733,0.005,432.628,0.053,0.42,0.399,0.136,0.068,0.162,0.001,0.005,
HEV,Fixed,Battery.Cu.Prod,g,4795.987,4804.074,10.25,0.106,5139.807,0.589,3.977,5.5,0.668,0.411,271.625,0.084,0.088,
HEV,Fixed,Battery.Li.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0,
HEV,Fixed,Battery.Graphite.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0,
HEV,Fixed,Battery.Ni.Mine,g,88913.074,89139.899,202.583,4.765,96480.194,17.855,108.93,138.039,152.596,101.169,22066.18,0.74,1.864,
HEV,Fixed,Battery.Ni.Prod,g,33501.426,33594.602,83.809,0.798,36320.274,9.737,39.982,37.374,49.91,2.139,584.582,0.436,0.656,
HEV,Fixed,Battery.Mn.Mine,g,0,0,0,0,0,0,0,0,0,0,0,0,0,
HEV,Fixed,Battery.Co.Mine,g,3222.317,3229.954,5.027,0.069,3399.013,0.869,3.136,5.905,55.191,6.01,46.1,0.207,0.083,
HEV,Fixed,Battery.Co.Prod,g,13962.297,13983.404,32.534,0.334,15047.818,2.514,8.445,15.764,1.788,1.134,15.099,0.117,0.311,
HEV,Fixed,Battery.Remainder,g,147519.524,148310.413,556.409,4.78,176910.601,75.447,353.656,158.791,72.878,33.437,619,0.861,2.505,
HEV,Fixed,Battery.Total,g,292322.999,293471.544,891.346,10.858,333730.334,107.065,518.547,361.772,333.166,144.368,23602.748,2.446,5.512,
