Model,Type,Stage,Unit,CO2,"CO2 (VOC, CO, CO2)",CH4,N2O,GHG,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC
CV,Fixed,Battery.Cu.Mine,g,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Fixed,Battery.Cu.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Fixed,Battery.Li.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Fixed,Battery.Graphite.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Fixed,Battery.Ni.Mine,g,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Fixed,Battery.Ni.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Fixed,Battery.Mn.Mine,g,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Fixed,Battery.Co.Mine,g,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Fixed,Battery.Co.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Fixed,Battery.Remainder,g,49092.78052,49275.83541,263.5595417,0.910767648,57423.97509,31.10757463,54.7927864,63.92047164,73.97980583,36.56059977,711.9555234,0.319289805,0.767560986
CV,Fixed,Battery.Total,g,49092.78052,49275.83541,263.5595417,0.910767648,57423.97509,31.10757463,54.7927864,63.92047164,73.97980583,36.56059977,711.9555234,0.319289805,0.767560986
CV,Fixed,Car.Cu.Mine,g,7669.683264,7684.528395,14.02313688,0.103717333,8132.707595,0.986788538,7.48977143,7.10069875,2.551172596,1.275804483,2.637273709,0.024240452,0.094219918
CV,Fixed,Car.Cu.Prod,g,90385.68626,90529.62121,195.3763367,2.224344899,96980.36271,10.9956293,69.78697241,100.4574421,12.31467908,7.691820427,5143.631717,1.585772731,1.641199972
CV,Fixed,Car.Remainder,g,7750812.277,7987626.315,19765.81264,185.9123342,8781485.657,62114.17838,27506.7219,8345.869206,3611.657536,1734.627734,22629.45429,49.23922259,108.2776936
CV,Fixed,Total,g,7897960.427,8135116.3,20238.77166,189.151164,8944022.703,62157.26837,27638.79143,8517.347818,3700.503194,1780.155959,28487.6788,51.16852558,110.7806745
HEV,Fixed,Battery.Cu.Mine,g,404.7038107,405.4871392,0.739954538,0.005472821,429.1360728,0.052069566,0.395210458,0.37468038,0.134616937,0.067319982,0.139160208,0.001279088,0.004971673
HEV,Fixed,Battery.Cu.Prod,g,4769.353624,4776.948595,10.30936288,0.117371321,5117.332881,0.580202979,3.682427645,5.300806859,0.649804872,0.405871916,271.412428,0.083675981,0.086600693
HEV,Fixed,Battery.Li.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0
HEV,Fixed,Battery.Graphite.Prod,g,0,0,0,0,0,0,0,0,0,0,0,0,0
HEV,Fixed,Battery.Ni.Mine,g,89145.26975,89363.17635,203.3106762,6.851829463,97278.23144,17.49638272,103.966678,132.0872339,151.9999897,100.6801884,22062.84212,0.677939281,1.69037169
HEV,Fixed,Battery.Ni.Prod,g,33497.78353,33588.1433,84.00167207,0.991013929,36370.81215,9.667821719,38.32715369,36.27103086,49.83332954,2.103432581,583.7167665,0.431723552,0.635774597
HEV,Fixed,Battery.Mn.Mine,g,0,0,0,0,0,0,0,0,0,0,0,0,0
HEV,Fixed,Battery.Co.Mine,g,3220.809276,3228.430078,5.029854314,0.068877375,3397.578212,0.869134847,3.125817269,5.895337685,55.18982117,6.009898546,46.09026992,0.207515166,0.083193269
