Queue Number,Name,Commercial Name,State,County,Status,Transmission Owner,MFO,MW Energy,MW Capacity,MW In Service,Capacity or Energy,Project Type,Fuel,Project (AC/DC),Rights (MW),Initial Study,Feasibility Study,Feasibility Study Status,System Impact Study,System Impact Study Status,Facilities Study,Facilities Study Status,Interim Interconnection Service Agreement,Interim/Interconnection Service Agreement Status,Wholesale Market Participation Agreement,Construction Service Agreement,Construction Service Agreement Status,Upgrade Construction Service Agreement,Upgrade Construction Service Agreement Status,Backfeed Date,Queue Date,Long-Term Firm Service Start Date,Long-Term Firm Service End Date,Test Energy Date,Withdrawal Date,Withdrawn Remarks,Projected In Service Date,Revised In Service Date,Actual In Service Date,Attachment Type,Alternate Queue,Sliding Queue
A01,South Lebanon 230 KV,Ironwood,PA,Lebanon,In Service,ME,720,720,673,673,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a01_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a01_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a01_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/a01_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,,4/1/1997,N/A,N/A,,,,4/1/2002,4/1/2002,4/1/2002,N,No,
A02,Oak Hall 138 kV (Oil CT),Chesapeake,VA,Unknown,In Service,DPL,315,315,315,311.8,Capacity,Generation Interconnection,Oil,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a02_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a02_imp.pdf,Document Posted,,Not Required,https://www.pjm.com/pub/planning/project-queues/isa/a02_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,,4/1/1997,N/A,N/A,,,,8/22/2001,,8/22/2001,N,No,
A03,Linden 230 kV or 138 kV,Linden 5 & 6,NJ,Union,In Service,PSEG,120,120,120,114,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a03_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a03_imp.pdf,Document Posted,,Not Required,https://www.pjm.com/pub/planning/project-queues/isa/a03_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,,4/1/1997,N/A,N/A,,,,6/1/2000,,6/1/2000,N,No,
A04,Linden 230 kV or 138 kV,"Linden 1, 2 & 3",NJ,Union,In Service,PSEG,1186,750,750,750,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a04_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a04_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a04_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/a04_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,6/10/2004,4/1/1997,N/A,N/A,3/11/2005,,,5/1/2006,,5/1/2006,N,No,
A05,Bergen,Bergen,NJ,Bergen,In Service,PSEG,500,500,500,500,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a05_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a05_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a05_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/a05_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,,4/1/1997,N/A,N/A,,,,6/1/2002,,6/1/2002,N,No,
A06,Kearny,,NJ,Gloucester,Withdrawn,PSEG,800,750,750,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a06_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a06_imp.pdf,Document Posted,,Withdrawn,N/A,,N/A,,,N/A,N/A,,4/1/1997,N/A,N/A,,8/28/2000,,,,,N,No,
A07,Dickerson 120 MW,,MD,Montgomery,Withdrawn,PEPCO,120,25,120,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a07_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a07_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a07_fac.pdf,Document Posted,,Withdrawn,N/A,,,N/A,N/A,,5/1/1997,N/A,N/A,,7/22/2002,Customer Initiated Withdrawal,,,,N,No,
A08,Susquehanna 230 kV,Susquehanna #1,PA,Columbia,In Service,PPL,1140,15,15,15,Capacity,Generation Interconnection,Nuclear,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a08_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a08_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a08_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/a08_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,,6/1/1997,N/A,N/A,,,,7/1/2002,,7/1/2002,N,No,
A09,Susquehanna 230 kV,Susquehanna #1,PA,Columbia,In Service,PPL,1140,35,35,35,Capacity,Generation Interconnection,Nuclear,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a09_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a09_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a09_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/a09_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,,6/1/1997,N/A,N/A,,,,5/1/2003,,5/1/2003,N,No,
A10,Glory 115 kV,Colver Power,PA,Cambria,In Service,PENELEC,6,6,6,6,Capacity,Generation Interconnection,Coal,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a10_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a10_imp.pdf,Document Posted,,Not Required,N/A,,N/A,,Not Required,N/A,N/A,,6/2/1997,N/A,N/A,,,,1/8/2000,,1/8/2000,N,No,
A11,Harwood 230 kV,Hazelton,PA,Luzerne,In Service,PPL,356,201,201,31.2,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a11_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a11_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a11_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/a11_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,,7/30/1997,N/A,N/A,,,,4/1/2002,,4/1/2002,N,No,
A12,Martins Creek 230 kV,Lower Mt Bethel,PA,Northampton,In Service,PPL,600,600,600,582,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a12_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a12_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a12_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/a12_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,6/13/2003,8/20/1997,N/A,N/A,12/15/2003,,,5/14/2004,,5/14/2004,N,No,
A13,Mickleton 230 kV,Mantua Creek Generating Station,NJ,Gloucester,Withdrawn,AEC,803,803,803,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a13_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a13_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a13_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/a13_isa.pdf,Document Posted,N/A,,,N/A,N/A,,11/26/1997,N/A,N/A,,,,6/1/2004,,,N,No,
A14,Sewaren,,NJ,Middlesex,Withdrawn,PSEG,500,500,500,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a14_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a14_imp.pdf,Document Posted,,Withdrawn,N/A,,N/A,,,N/A,N/A,,1/1/1998,N/A,N/A,,6/18/2002,,,,,N,No,
A15,Sayreville 230 kV,"Red Oak CC1, CT1 - CT4",NJ,Middlesex,In Service,JCPL,765,765,765,765,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a15_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a15_imp.pdf,Document Posted,,Not Required,https://www.pjm.com/pub/planning/project-queues/isa/a15_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,,1/20/1998,N/A,N/A,,,,2/1/2002,,2/1/2002,N,No,
A16,Eagle Point 230 kV,,NJ,Gloucester,Withdrawn,PSEG,800,800,800,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a16_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a16_imp.pdf,Document Posted,,Withdrawn,N/A,,N/A,,,N/A,N/A,,3/3/1998,N/A,N/A,,4/19/2000,,,,,N,No,
A17,Linden 230 kV,,NJ,Union,Withdrawn,PSEG,1100,300,300,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a17_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a17_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a17_fac.pdf,Document Posted,,Withdrawn,N/A,,Withdrawn,N/A,N/A,,5/8/1998,N/A,N/A,,10/10/2003,,5/1/2006,,,N,No,
A18,North Temple 230 kV,,PA,Berks,In Service,ME,557,557,557,557,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a18_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a18_imp2.pdf,Interim Study,https://www.pjm.com/pub/planning/project-queues/facilities/a18_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/a18_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,,5/11/1998,N/A,N/A,,,,12/1/2002,12/1/2002,12/1/2002,N,No,
A19,Eddystone 230 kV,Liberty (Eddy),PA,Delaware,In Service,PECO,521,521,521,521,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a19_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a19_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a19_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/a19_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,,5/15/1998,N/A,N/A,,,,1/1/2002,,1/1/2002,N,No,
A20,Juniata 500 kV,,PA,Dauphin,Withdrawn,PPL,485,12,10,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a20_fea.pdf,Document Posted,,,,,N/A,,N/A,,,N/A,N/A,,7/9/1998,N/A,N/A,,7/18/1999,Customer Milestone Not Met,,,,N,No,
A21,Chichester 230 kV,Phillips Island,PA,Philadelphia,In Service,PECO,725,725,725,725,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a21_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a21_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a21_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/a21_isa.pdf,Document Posted,N/A,https://www.pjm.com/pub/planning/project-queues/csa/a21_csa.pdf,Document Posted,N/A,N/A,6/2/2003,8/17/1998,N/A,N/A,6/4/2004,,,12/31/2004,,12/31/2004,N,No,
A22,Hudson 230 kV,,NJ,Hudson,Withdrawn,PSEG,750,750,750,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a22_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a22_imp.pdf,Document Posted,,Withdrawn,N/A,,N/A,,,N/A,N/A,,8/20/1998,N/A,N/A,,8/28/2000,,,,,N,No,
A23,New Castle 138 kV,,DE,New Castle,Withdrawn,DPL,257,257,257,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a23_fea.pdf,Document Posted,,Withdrawn,,,N/A,,N/A,,,N/A,N/A,,10/13/1998,N/A,N/A,,7/23/1999,,,,,N,No,
A24,South River 230 kV,,NJ,Middlesex,Withdrawn,JCPL,725,725,725,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a24_fea.pdf,Document Posted,,Withdrawn,,,N/A,,N/A,,,N/A,N/A,,10/28/1998,N/A,N/A,,6/26/1999,,,,,N,No,
A25,Hosensack 500 kV,,PA,Northampton,Withdrawn,PPL,1000,1000,1000,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a25_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a25_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a25_fac.pdf,Document Posted,,Withdrawn,N/A,,,N/A,N/A,,10/30/1998,N/A,N/A,,1/24/2002,,,,,N,No,
A26,Linden,Tosco #6,NJ,Union,In Service,PSEG,180,180,,157.5,Energy,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a26_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a26_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a26_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/a26_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,,11/2/1998,N/A,N/A,,,,1/25/2002,,1/25/2002,N,No,
A27,Passyunk 230 kV,,PA,Philadelphia,Withdrawn,PECO,615,615,515,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a27_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a27_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a27_fac.pdf,Document Posted,,Withdrawn,N/A,,,N/A,N/A,,11/4/1998,N/A,N/A,,4/30/2002,,,,,N,No,
A28,Dover,Kent,DE,Kent,In Service,DPL,100,100,98,88,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a28_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a28_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a28_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/a28_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,,11/4/1998,N/A,N/A,,,,6/14/2001,,6/14/2001,N,No,
A29,Colora Tap,Rock Springs,MD,Cecil,In Service,DPL,465,465,465,465,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a29_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a29_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a29_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/a29_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,,11/18/1998,N/A,N/A,,,,6/13/2003,,6/13/2003,N,No,
A30,Colora Tap,Rock Springs,MD,Cecil,In Service,DPL,465,465,465,465,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a30_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a30_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a30_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/a30_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,10/2/2002,12/3/1998,N/A,N/A,,,,12/1/2005,,12/1/2005,N,No,
A31,Peckville/Varden 69 kV,Archbald,PA,Lackawanna,In Service,PPL,46,44,44,43.7,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a31_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a31_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a31_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/a31_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,,12/22/1998,N/A,N/A,,,,10/27/2001,,10/27/2001,N,No,
A32,Montour #1,Montour #1,PA,Montour,In Service,PPL,759,14,14,14,Capacity,Generation Interconnection,Coal,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a32_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a32_imp.pdf,Document Posted,,Not Required,https://www.pjm.com/pub/planning/project-queues/isa/a32_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,,1/12/1999,N/A,N/A,,,,6/19/2001,,6/19/2001,N,No,
A33,Montour #2,Montour #2,PA,Montour,In Service,PPL,14,14,14,14,Capacity,Generation Interconnection,Coal,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a33_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a33_imp.pdf,Document Posted,,Not Required,https://www.pjm.com/pub/planning/project-queues/isa/a33_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,,1/12/1999,N/A,N/A,,,,11/1/2000,,11/1/2000,N,No,
A34,Brunner 230 kV,,PA,York,In Service,PPL,749,14,14,14,Capacity,Generation Interconnection,Coal,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a34_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a34_imp2.pdf,Interim Study,https://www.pjm.com/pub/planning/project-queues/facilities/a34_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/a34_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,,1/12/1999,N/A,N/A,,,,4/27/2002,,4/27/2002,N,No,
A35,North Bangor 34.5 kV,Grand Central Sanitary LF,PA,Northampton,In Service,ME,10,10,10,8.5,Capacity,Generation Interconnection,Methane,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a35_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a35_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a35_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/a35_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,,1/13/1999,N/A,N/A,,,,4/18/2001,,4/18/2001,N,No,
A36,Hunterstown 500 kV,Hunterstown,PA,Adams,In Service,ME,830,830,830,810,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a36_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a36_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a36_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/a36_isa.pdf,Document Posted,N/A,,Not Required,N/A,N/A,,1/27/1999,N/A,N/A,4/23/2003,,,7/31/2003,7/31/2003,7/31/2003,N,No,
A37,Sayreville 230 kV,,NJ,Middlesex,Withdrawn,JCPL,749,749,749,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a37_fea.pdf,Document Posted,,Withdrawn,,,N/A,,N/A,,,N/A,N/A,,1/27/1999,N/A,N/A,,9/8/1999,,,,,N,No,
A38,Erie West 345 kV,,PA,Crawford,Withdrawn,PENELEC,765,765,765,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a38_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a38_imp.pdf,Document Posted,,Withdrawn,N/A,,N/A,,,N/A,N/A,,1/27/1999,N/A,N/A,,8/6/2001,,,,,N,No,
A39,Pequest River 115 kV,,NJ,Warren,Withdrawn,JCPL,73,73,73,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a39_fea.pdf,Document Posted,,Withdrawn,,,N/A,,N/A,,,N/A,N/A,,1/27/1999,N/A,N/A,,8/6/2001,,,,,N,No,
A40,TMI 500 kV,,PA,Dauphin,Withdrawn,ME,1271,1271,1271,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a40_fea.pdf,Document Posted,,Withdrawn,,,N/A,,N/A,,,N/A,N/A,,1/27/1999,N/A,N/A,,10/12/1999,,,,,N,No,
A41,TMI 500 kV,,PA,Dauphin,Withdrawn,ME,765,765,765,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a41_fea.pdf,Document Posted,,Withdrawn,,,N/A,,N/A,,,N/A,N/A,,1/27/1999,N/A,N/A,,,,,,,N,No,
A42,Atlantic 230 kV,,NJ,Monmouth,Withdrawn,JCPL,449,449,449,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a42_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a42_imp.pdf,Document Posted,,Withdrawn,N/A,,N/A,,,N/A,N/A,,1/27/1999,N/A,N/A,,8/6/2001,,,,,N,No,
A43,Portland 230 kV,,PA,Northampton,Withdrawn,ME,472,472,472,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a43_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a43_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/a43_fac.pdf,Document Posted,N/A,,N/A,,,N/A,N/A,,1/27/1999,N/A,N/A,,7/20/2003,,,,,N,No,
A44,Shelocta 230 kV,,PA,Indiana,Withdrawn,PENELEC,402,402,402,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a44_fea.pdf,Document Posted,,Withdrawn,,,N/A,,N/A,,,N/A,N/A,,1/27/1999,N/A,N/A,,10/22/1999,,,,,N,No,
A45,Oyster Creek 230 kV,,NJ,Ocean,Withdrawn,JCPL,752,752,752,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a45_fea.pdf,Document Posted,,Withdrawn,,,N/A,,N/A,,,N/A,N/A,,1/27/1999,N/A,N/A,,12/6/1999,,,,,N,No,
A46,Gilbert 115 kV,,NJ,Hunterdon,Withdrawn,JCPL,100,100,100,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a46_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a46_imp.pdf,Document Posted,,Withdrawn,N/A,,N/A,,,N/A,N/A,,1/27/1999,N/A,N/A,,8/30/1999,,,,,N,No,
A47,Perryman 230kV or 115kV,,MD,Harford,Withdrawn,BGE,740,740,740,,Capacity,Generation Interconnection,Natural Gas,,,N/A,,Withdrawn,,Withdrawn,,,N/A,,N/A,,,N/A,N/A,,4/30/1999,N/A,N/A,,8/30/1999,,,,,N,No,
A48,East Towanda 230kV,,NJ,Union,Withdrawn,PENELEC,750,750,750,,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/a48_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/a48_imp.pdf,Document Posted,,Withdrawn,N/A,,N/A,,,N/A,N/A,,2/3/1999,N/A,N/A,,10/3/2001,,,,,N,No,
