powertrain,profile,cars,demand_miles_car,demand_miles_fleet,battery_miles_car,battery_miles_fleet,combustion_miles_car,combustion_miles_fleet
CV,1,168121.8501,3731.111111,627281302.9,0,0,3731.111111,627281302.9
CV,2,6957.69669,56210,391092131,0,0,56210,391092131
CV,3,313182.2606,12410,3886591854,0,0,12410,3886591854
CV,4,0,730,0,0,0,730,0
CV,5,116325.2087,21170,2462604668,0,0,21170,2462604668
CV,6,116058.7598,4015,465975920.4,0,0,4015,465975920.4
CV,7,129005.3923,6570,847565427.2,0,0,6570,847565427.2
CV,8,451194.7426,2920,1317488648,0,0,2920,1317488648
CV,9,50316.78297,20440,1028475044,0,0,20440,1028475044
CV,10,124487.7649,13870,1726645299,0,0,13870,1726645299
CV,11,0,648.8888889,0,0,0,648.8888889,0
CV,12,57019.07037,14600,832478427.3,0,0,14600,832478427.3
CV,13,81119.75494,2190,177652263.3,0,0,2190,177652263.3
CV,14,313308.1237,24090,7547592700,0,0,24090,7547592700
CV,15,1689.300756,41245,69675209.69,0,0,41245,69675209.69
CV,16,0,11680,0,0,0,11680,0
CV,17,269082.5427,8030,2160732818,0,0,8030,2160732818
CV,18,0,2190,0,0,0,2190,0
CV,19,0,1460,0,0,0,1460,0
CV,20,180478.0597,18290.55556,3301043978,0,0,18290.55556,3301043978
HEV,1,168121.8501,3731.111111,627281302.9,0,0,3731.111111,627281302.9
HEV,2,6957.69669,56210,391092131,0,0,56210,391092131
HEV,3,313182.2606,12410,3886591854,0,0,12410,3886591854
HEV,4,0,730,0,0,0,730,0
HEV,5,116325.2087,21170,2462604668,0,0,21170,2462604668
HEV,6,116058.7598,4015,465975920.4,0,0,4015,465975920.4
HEV,7,129005.3923,6570,847565427.2,0,0,6570,847565427.2
HEV,8,451194.7426,2920,1317488648,0,0,2920,1317488648
HEV,9,50316.78297,20440,1028475044,0,0,20440,1028475044
HEV,10,124487.7649,13870,1726645299,0,0,13870,1726645299
HEV,11,0,648.8888889,0,0,0,648.8888889,0
HEV,12,57019.07037,14600,832478427.3,0,0,14600,832478427.3
HEV,13,81119.75494,2190,177652263.3,0,0,2190,177652263.3
HEV,14,313308.1237,24090,7547592700,0,0,24090,7547592700
HEV,15,1689.300756,41245,69675209.69,0,0,41245,69675209.69
HEV,16,0,11680,0,0,0,11680,0
HEV,17,269082.5427,8030,2160732818,0,0,8030,2160732818
HEV,18,0,2190,0,0,0,2190,0
HEV,19,0,1460,0,0,0,1460,0
HEV,20,180478.0597,18290.55556,3301043978,0,0,18290.55556,3301043978
PHEV10,1,168121.8501,3731.111111,627281302.9,3650,613644752.8,81.1111111,13636550.06
PHEV10,2,6957.69669,56210,391092131,3650,25395592.92,52560,365696538
PHEV10,3,313182.2606,12410,3886591854,3650,1143115251,8760,2743476603
PHEV10,4,0,730,0,730,0,0,0
PHEV10,5,116325.2087,21170,2462604668,3650,424587011.7,17520,2038017656
PHEV10,6,116058.7598,4015,465975920.4,3650,423614473.1,365,42361447.31
PHEV10,7,129005.3923,6570,847565427.2,3650,470869681.8,2920,376695745.4
PHEV10,8,451194.7426,2920,1317488648,2920,1317488648,0,0
PHEV10,9,50316.78297,20440,1028475044,3650,183656257.8,16790,844818786.1
PHEV10,10,124487.7649,13870,1726645299,3650,454380341.9,10220,1272264957
PHEV10,11,0,648.8888889,0,648.8888889,0,0,0
PHEV10,12,57019.07037,14600,832478427.3,3650,208119606.8,10950,624358820.5
PHEV10,13,81119.75494,2190,177652263.3,2190,177652263.3,0,0
PHEV10,14,313308.1237,24090,7547592700,3650,1143574651,20440,6404018048
PHEV10,15,1689.300756,41245,69675209.69,3650,6165947.76,37595,63509261.93
PHEV10,16,0,11680,0,3650,0,8030,0
PHEV10,17,269082.5427,8030,2160732818,3650,982151281,4380,1178581537
PHEV10,18,0,2190,0,2190,0,0,0
PHEV10,19,0,1460,0,1460,0,0,0
PHEV10,20,180478.0597,18290.55556,3301043978,3650,658744918,14640.55556,2642299060
PHEV35,1,168121.8501,3731.111111,627281302.9,3731.111111,627281302.9,0,0
PHEV35,2,6957.69669,56210,391092131,11067.05539,77001214.68,45142.94461,314090916.3
PHEV35,3,313182.2606,12410,3886591854,11067.05539,3466005426,1342.944606,420586427.7
PHEV35,4,0,730,0,730,0,0,0
PHEV35,5,116325.2087,21170,2462604668,11067.05539,1287377528,10102.94461,1175227140
PHEV35,6,116058.7598,4015,465975920.4,4015,465975920.4,0,0
PHEV35,7,129005.3923,6570,847565427.2,6570,847565427.2,0,0
PHEV35,8,451194.7426,2920,1317488648,2920,1317488648,0,0
PHEV35,9,50316.78297,20440,1028475044,11067.05539,556858624.4,9372.944606,471616419.6
PHEV35,10,124487.7649,13870,1726645299,11067.05539,1377712990,2802.944606,348932309.2
PHEV35,11,0,648.8888889,0,648.8888889,0,0,0
PHEV35,12,57019.07037,14600,832478427.3,11067.05539,631033210.2,3532.944606,201445217.1
PHEV35,13,81119.75494,2190,177652263.3,2190,177652263.3,0,0
PHEV35,14,313308.1237,24090,7547592700,11067.05539,3467398360,13022.94461,4080194340
PHEV35,15,1689.300756,41245,69675209.69,11067.05539,18695585.04,30177.94461,50979624.64
PHEV35,16,0,11680,0,11067.05539,0,612.9446064,0
PHEV35,17,269082.5427,8030,2160732818,8030,2160732818,0,0
PHEV35,18,0,2190,0,2190,0,0,0
PHEV35,19,0,1460,0,1460,0,0,0
PHEV35,20,180478.0597,18290.55556,3301043978,11067.05539,1997360684,7223.500162,1303683294
BEV265,1,168121.8501,3731.111111,627281302.9,3731.111111,627281302.9,0,0
BEV265,2,6957.69669,56210,391092131,19902.10526,138472811.9,0,0
BEV265,3,313182.2606,12410,3886591854,12410,3886591854,0,0
BEV265,4,0,730,0,730,0,0,0
BEV265,5,116325.2087,21170,2462604668,21170,2462604668,0,0
BEV265,6,116058.7598,4015,465975920.4,4015,465975920.4,0,0
BEV265,7,129005.3923,6570,847565427.2,6570,847565427.2,0,0
BEV265,8,451194.7426,2920,1317488648,2920,1317488648,0,0
BEV265,9,50316.78297,20440,1028475044,20440,1028475044,0,0
BEV265,10,124487.7649,13870,1726645299,13870,1726645299,0,0
BEV265,11,0,648.8888889,0,648.8888889,0,0,0
BEV265,12,57019.07037,14600,832478427.3,14600,832478427.3,0,0
BEV265,13,81119.75494,2190,177652263.3,2190,177652263.3,0,0
BEV265,14,313308.1237,24090,7547592700,24090,7547592700,0,0
BEV265,15,1689.300756,41245,69675209.69,32765.95395,55351550.78,0,0
BEV265,16,0,11680,0,11680,0,0,0
BEV265,17,269082.5427,8030,2160732818,8030,2160732818,0,0
BEV265,18,0,2190,0,2190,0,0,0
BEV265,19,0,1460,0,1460,0,0,0
BEV265,20,180478.0597,18290.55556,3301043978,18290.55556,3301043978,0,0
