"","date","hour.ending","hour","solarTCR1","solarTCR2","solarTCR3","solarTCR4","solarTCR5","windTCR1","windTCR2","windTCR3","windTCR4","windTCR5"
"1",2019-01-01,1,1,-0.043,0,-0.957,0,-0.773,3763.956,0,904.354,0,277.713
"2",2019-01-01,2,2,-0.043,0,-0.966,0,-0.807,3304.212,0,901.461,0,241.081
"3",2019-01-01,3,3,-0.043,0,-0.983,0,-0.734,2953.452,0,862.59,0,229.602
"4",2019-01-01,4,4,-0.042,0,-0.956,0,-0.803,2530.815,0,839.202,0,176.131
"5",2019-01-01,5,5,-0.042,0,-0.954,0,-0.801,2282.928,0,826.163,0,174.773
"6",2019-01-01,6,6,-0.042,0,-0.968,0,-0.799,2015.857,0,864.115,0,196.555
"7",2019-01-01,7,7,-0.041,0,-0.963,0,-0.731,1593.712,0,834.976,0,206.241
"8",2019-01-01,8,8,-0.006,0,0.812,0,6.226,1337.421,0,854.676,0,246.925
"9",2019-01-01,9,9,1.538,0,27.384,0,55.456,1200.996,0,817.869,0,279.797
"10",2019-01-01,10,10,7.333,0,57.69,0,130.905,1271.699,0,793.898,0,269.81
"11",2019-01-01,11,11,12.126,0,104.882,0,202.316,1205.969,0,849.531,0,273.848
"12",2019-01-01,12,12,9.153,0,132.895,0,273.321,1029.185,0,905.283,0,275.695
"13",2019-01-01,13,13,17.855,0,206.991,0,231.079,919.489,0,874.096,0,267.238
"14",2019-01-01,14,14,15.892,0,249.361,0,164.612,895.72,0,861.874,0,269.5
"15",2019-01-01,15,15,10.112,0,133.285,0,113.631,887.664,0,790.322,0,204.041
"16",2019-01-01,16,16,5.422,0,64.673,0,63.426,769.885,0,708.416,0,152.715
"17",2019-01-01,17,17,1.227,0,10.157,0,16.875,560.495,0,628.694,0,131.046
"18",2019-01-01,18,18,-0.042,0,1.632,0,-0.818,436.046,0,581.26,0,119.908
"19",2019-01-01,19,19,-0.042,0,1.515,0,-0.864,436.827,0,549.074,0,87.959
"20",2019-01-01,20,20,-0.041,0,1.51,0,-0.832,436.946,0,402.46,0,96.41
"21",2019-01-01,21,21,-0.042,0,1.513,0,-0.885,309.968,0,263.684,0,94.118
"22",2019-01-01,22,22,-0.041,0,1.498,0,-0.773,171.824,0,164.379,0,98.319
"23",2019-01-01,23,23,-0.042,0,1.496,0,-0.77,130.163,0,129.672,0,84.457
"24",2019-01-01,24,24,-0.042,0,1.495,0,-0.839,131.802,0,80.141,0,85.008
"25",2019-01-02,1,25,-0.042,0,1.509,0,-0.732,123.097,0,52.441,0,95.615
"26",2019-01-02,2,26,-0.041,0,1.481,0,-0.802,149.862,0,36.527,0,94.898
"27",2019-01-02,3,27,-0.042,0,1.5,0,-0.766,173.92,0,35.365,0,99.596
"28",2019-01-02,4,28,-0.043,0,1.482,0,-0.736,169.472,0,35.011,0,86.146
"29",2019-01-02,5,29,-0.041,0,1.466,0,-0.923,177.359,0,35.991,0,88.727
"30",2019-01-02,6,30,-0.042,0,1.474,0,-0.784,180.329,0,19.945,0,100.649
"31",2019-01-02,7,31,-0.041,0,1.508,0,-0.785,141.101,0,2.197,0,87.881
"32",2019-01-02,8,32,-0.01,0,5.526,0,3.956,134.313,0,-3.898,0,85.012
"33",2019-01-02,9,33,1.449,0,52.765,0,44.563,296.915,0,-3.906,0,86.495
"34",2019-01-02,10,34,3.466,0,122.171,0,65.076,532.529,0,-3.917,0,103.184
"35",2019-01-02,11,35,6.801,0,180.96,0,119.221,595.696,0,-3.768,0,82.925
"36",2019-01-02,12,36,7.1,0,205.982,0,189.704,1133.396,0,-0.632,0,73.549
"37",2019-01-02,13,37,6.004,0,197.982,0,166.529,1932.563,0,11.789,0,45.458
"38",2019-01-02,14,38,4.796,0,136.826,0,170.669,2440.912,0,35.657,0,43.107
"39",2019-01-02,15,39,2.467,0,91.419,0,123.121,2980.656,0,60.5,0,23.091
"40",2019-01-02,16,40,1.134,0,39.65,0,79.987,3714.199,0,110.998,0,16.503
"41",2019-01-02,17,41,0.095,0,3.399,0,12.066,3655.705,0,177.634,0,20.179
"42",2019-01-02,18,42,-0.042,0,-0.957,0,-0.786,3603.081,0,304.435,0,29.12
"43",2019-01-02,19,43,-0.041,0,-0.937,0,-0.774,3619.424,0,413.56,0,34.432
"44",2019-01-02,20,44,-0.041,0,-0.935,0,-0.773,3535.538,0,485.322,0,38.247
"45",2019-01-02,21,45,-0.042,0,-0.923,0,-0.808,3507.722,0,411.366,0,18.786
"46",2019-01-02,22,46,-0.041,0,-0.967,0,-0.737,3572.988,0,337.685,0,12.629
"47",2019-01-02,23,47,-0.042,0,-0.967,0,-0.943,3392.671,0,292.514,0,33.529
"48",2019-01-02,24,48,-0.042,0,-0.94,0,-0.772,2877.695,0,337.579,0,64.106
"49",2019-01-03,1,49,-0.041,0,-0.977,0,-0.77,2607.36,0,495.506,0,81.955
"50",2019-01-03,2,50,-0.042,0,-0.984,0,-0.734,2367.968,0,561.913,0,98.333
"51",2019-01-03,3,51,-0.041,0,-0.949,0,-0.792,2401.075,0,586.986,0,100.791
"52",2019-01-03,4,52,-0.043,0,-0.989,0,-0.808,2539.792,0,633.156,0,107.353
"53",2019-01-03,5,53,-0.042,0,-0.957,0,-0.648,2447.82,0,596.379,0,114.678
"54",2019-01-03,6,54,-0.042,0,-0.929,0,-0.951,2263.063,0,579.46,0,144.273
"55",2019-01-03,7,55,-0.041,0,-0.956,0,-0.738,2113.307,0,701.145,0,179.872
"56",2019-01-03,8,56,-0.013,0,1.514,0,0.219,1991.658,0,790.632,0,172.979
"57",2019-01-03,9,57,2.068,0,31.766,0,14.366,1872.438,0,671.871,0,137.546
"58",2019-01-03,10,58,8.775,0,84.417,0,30.055,1819.807,0,559.307,0,111.268
"59",2019-01-03,11,59,20.043,0,115.733,0,52.518,1814.815,0,465.856,0,105.135
"60",2019-01-03,12,60,29.074,0,157.097,0,78.564,1640.31,0,430.314,0,84.31
"61",2019-01-03,13,61,26.943,0,170.758,0,95.673,1612.661,0,293.613,0,74.824
"62",2019-01-03,14,62,26.008,0,140.492,0,83.45,1709.651,0,236.305,0,56.242
"63",2019-01-03,15,63,22.883,0,110.733,0,59.988,2302.822,0,226.446,0,54.31
"64",2019-01-03,16,64,16.669,0,63.57,0,32.846,2369.329,0,153.154,0,29.424
"65",2019-01-03,17,65,5.462,0,8.411,0,8.474,2456.737,0,154.391,0,30.682
"66",2019-01-03,18,66,0.035,0,-0.986,0,-0.885,3140.847,0,166.886,0,61.207
"67",2019-01-03,19,67,-0.042,0,-0.924,0,-0.772,4105.011,0,194.697,0,97.018
"68",2019-01-03,20,68,-0.041,0,-0.965,0,-0.737,4162.452,0,217.376,0,109.5
"69",2019-01-03,21,69,-0.042,0,-0.943,0,-0.773,4333.508,0,281.434,0,114.654
"70",2019-01-03,22,70,-0.041,0,-0.957,0,-0.806,4429.623,0,386.758,0,106.72
"71",2019-01-03,23,71,-0.043,0,-0.998,0,-0.806,4767.238,0,436.926,0,91.522
"72",2019-01-03,24,72,-0.043,0,-0.989,0,-0.77,4137.395,0,453.452,0,71.304
"73",2019-01-04,1,73,-0.042,0,-1.003,0,-0.847,3837.658,0,434.66,0,95.003
"74",2019-01-04,2,74,-0.043,0,-1.017,0,-0.846,3742.85,0,424.281,0,109.434
"75",2019-01-04,3,75,-0.042,0,-0.989,0,-0.81,3058.467,0,439.768,0,80.39
"76",2019-01-04,4,76,-0.044,0,-1.017,0,-0.855,2775.53,0,501.582,0,86.714
"77",2019-01-04,5,77,-0.042,0,-1.016,0,-0.94,2747.419,0,582.105,0,52.303
"78",2019-01-04,6,78,-0.043,0,-1.002,0,-0.963,2263.244,0,495.152,0,32.327
"79",2019-01-04,7,79,-0.042,0,-1.013,0,-0.856,2038.805,0,442.745,0,28.06
"80",2019-01-04,8,80,0.056,0,5.545,0,0.482,1852.822,0,409.161,0,11.107
"81",2019-01-04,9,81,3.306,0,64.056,0,17.717,1119.554,0,401.411,0,18.106
"82",2019-01-04,10,82,12.989,0,148.81,0,42.486,931.034,0,327.027,0,20.273
"83",2019-01-04,11,83,25.649,0,205.749,0,80.863,656.618,0,234.704,0,14.621
"84",2019-01-04,12,84,25.422,0,249.208,0,74.974,323.325,0,255.573,0,5.876
"85",2019-01-04,13,85,23.313,0,207.105,0,72.157,302.773,0,186.238,0,5.622
"86",2019-01-04,14,86,20.867,0,135.756,0,47.52,339.652,0,208.279,0,5.293
"87",2019-01-04,15,87,17.374,0,69.133,0,30.756,341.687,0,300.265,0,25.228
"88",2019-01-04,16,88,11.877,0,27.747,0,10.914,501.85,0,326.541,0,33.417
"89",2019-01-04,17,89,3.216,0,1.74,0,1.042,617.075,0,488.957,0,77.664
"90",2019-01-04,18,90,0.039,0,-0.978,0,-0.86,612.485,0,491.369,0,140.821
"91",2019-01-04,19,91,-0.041,0,-0.912,0,-0.814,946.287,0,449.449,0,100.771
"92",2019-01-04,20,92,-0.042,0,-0.959,0,-0.882,1492.053,0,425.27,0,67.156
"93",2019-01-04,21,93,-0.042,0,-0.934,0,-0.916,1682.895,0,419.062,0,112.155
"94",2019-01-04,22,94,-0.041,0,-0.915,0,-0.775,2386.151,0,410.887,0,215.772
"95",2019-01-04,23,95,-0.042,0,-0.948,0,-0.98,2472.569,0,357.728,0,201.446
"96",2019-01-04,24,96,-0.041,0,-0.967,0,-0.812,2796.245,0,359.977,0,132.926
"97",2019-01-05,1,97,-0.042,0,-0.934,0,-0.851,2886.759,0,295.283,0,154.648
