"","date","hour.ending","hour","AECO","AEPAPT","AEPIMP","AEPKPT","AEPOPT","AP","BC","CE","DAY","DEOK","DOM","DPLCO","DUQ","EASTON","EKPC","JC","ME","OE","OVEC","PAPWR","PE","PEPCO","PLCO","PN","PS","RECO","SMECO","UGI","VMEU"
"1",2019-01-01,1,1,874.626,3468.835,2546.379,566.355,4908.789,4749.061,2978.62,9449.139,1429,2328.102,9088.189,1654.143,1213.596,23.184,1117.795,2102.17,1434.75,5359.023,36,423.305,3854.969,2354.889,3758.766,1602.952,4188.46,137.314,323.395,108.592,60.69
"2",2019-01-01,2,2,849.535,3343.392,2389.819,547.161,4767.147,4609.852,2843.519,9124.17,1393,2285.412,8684.294,1574.923,1171.689,21.658,1056.815,1963.738,1379.179,5121.735,33,403.395,3697.195,2275.381,3611.302,1526.905,4006.765,128.082,302.387,102.283,58.577
"3",2019-01-01,3,3,808.255,3279.876,2370.401,536.076,4655.416,4501.156,2725.46,8873.749,1363,2224.243,8323.87,1507.026,1125.902,21.141,1044.528,1864.748,1326.524,5051.454,29,375.071,3563.984,2205.931,3486.756,1478.06,3864.146,121.468,280.931,97.809,56.832
"4",2019-01-01,4,4,782.379,3242.818,2317.973,530.026,4591.484,4427.265,2631.721,8668.356,1365,2225.532,8164.973,1464.429,1114.111,20.622,1067.568,1800.236,1292.81,5057.818,29,374.61,3462.054,2164.783,3410.047,1454.694,3767.555,117.799,266.821,94.52,55.399
"5",2019-01-01,5,5,769.847,3252.277,2326.445,535.837,4725.895,4397.115,2610.2,8581.226,1367,2228.807,8126.982,1445.545,1110.239,20.16,1094.244,1786.247,1284.902,5103.818,28,377.9,3448.151,2120.767,3400.995,1447.67,3727.166,117.34,256.068,93.597,55.424
"6",2019-01-01,6,6,770.767,3311.838,2383.872,547.715,4812.13,4496.499,2648.284,8654.918,1406,2289.887,8273.913,1465.846,1135.038,21.133,1123.749,1813.253,1303.515,5208.795,32,392.112,3483.662,2183.489,3434.173,1462.238,3742.284,119.45,265.203,94.629,56.494
"7",2019-01-01,7,7,788.535,3430.326,2382.239,564.22,4910.022,4571.435,2731.526,8862.222,1455,2340.763,8469.216,1501.677,1169.644,21.16,1169.254,1860.251,1344.4,5347.565,29,411.374,3523.38,2210.534,3553.664,1506.69,3806.369,122.972,269.904,97.3,56.894
"8",2019-01-01,8,8,791.067,3527.496,2439.186,595.425,5135.631,4728.39,2747.256,9100.497,1510,2410.104,8619.65,1530.38,1199.967,22.12,1225.445,1876.576,1366.965,5569.523,30,431.176,3558.081,2279.893,3610.58,1560.903,3776.789,123.404,278.747,98.989,56.107
"9",2019-01-01,9,9,799.18,3613.785,2475.29,602.087,5307.048,4816.574,2812.533,9182.779,1552,2451.968,8758.063,1576.553,1227.415,23.159,1287.091,1913.275,1415.526,5660.831,32,445.746,3650.695,2285.889,3743.065,1637.455,3780.439,125.155,293.854,102.397,54.865
"10",2019-01-01,10,10,829.096,3724.281,2605.979,627.356,5461.186,5009.847,2924.777,9220.606,1621,2562.97,9161.13,1650.679,1272.299,23.736,1367.299,1995.808,1477.854,5837.085,31,462.836,3810.08,2387.305,3919.217,1713.009,3857.444,129.975,316.012,108.58,56.939
