"","date","hour.ending","hour","TI12","TI13","TI15","TI23","TI25","TI34"
"1",2019-01-01,1,1,1525.6795,3051.359,10779.416,4509.123,1525.6795,7616.884
"2",2019-01-01,2,2,1535.16725,3070.3345,10117.342,4651.589,1535.16725,7688.537
"3",2019-01-01,3,3,1540.7445,3081.489,10209.095,4767.368,1540.7445,7777.393
"4",2019-01-01,4,4,1532.646,3065.292,9924.451,4623.258,1532.646,7731.661
"5",2019-01-01,5,5,1508.309,3016.618,9407.87,4483.143,1508.309,7636.453
"6",2019-01-01,6,6,1493.86775,2987.7355,9147.196,4453.522,1493.86775,7596.181
"7",2019-01-01,7,7,1483.3475,2966.695,8539.592,4483.856,1483.3475,7619.967
"8",2019-01-01,8,8,1463.923,2927.846,8524.639,4224.171,1463.923,7626.777
"9",2019-01-01,9,9,1461.8095,2923.619,8481.108,4107.4,1461.8095,7521.507
"10",2019-01-01,10,10,1461.23525,2922.4705,8699.261,4024.254,1461.23525,7480.298
"11",2019-01-01,11,11,1499.535,2999.07,9377.298,3928.358,1499.535,7428.416
"12",2019-01-01,12,12,1511.1075,3022.215,9576.11,3895.4,1511.1075,7312.831
"13",2019-01-01,13,13,1513.35775,3026.7155,9376.698,3941.953,1513.35775,7223.369
"14",2019-01-01,14,14,1511.59,3023.18,9267.293,3879.31,1511.59,7289.968
"15",2019-01-01,15,15,1509.81375,3019.6275,9266.254,3801.689,1509.81375,7258.915
"16",2019-01-01,16,16,1483.537,2967.074,9142.114,3771.961,1483.537,7216.003
"17",2019-01-01,17,17,1441.367,2882.734,9086.949,3478.356,1441.367,7229.092
"18",2019-01-01,18,18,1384.81825,2769.6365,9362.85,3124.774,1384.81825,7039.767
"19",2019-01-01,19,19,1392.888,2785.776,9195.72,3176.465,1392.888,7072.789
"20",2019-01-01,20,20,1414.65375,2829.3075,9359.756,3326.021,1414.65375,7152.132
"21",2019-01-01,21,21,1406.82425,2813.6485,9295.532,3420.548,1406.82425,7159.685
"22",2019-01-01,22,22,1404.76525,2809.5305,9587.494,3540.275,1404.76525,7192.373
"23",2019-01-01,23,23,1424.47125,2848.9425,9803.027,3903.41,1424.47125,7255.902
"24",2019-01-01,24,24,1516.241,3032.482,9750.907,4416.892,1516.241,7426.549
"25",2019-01-02,1,25,1453.66675,2907.3335,9046.489,4437.275,1453.66675,7325.619
"26",2019-01-02,2,26,1395.0935,2790.187,9111.792,4374.009,1395.0935,7295.763
"27",2019-01-02,3,27,1402.66225,2805.3245,9345.67,4311.547,1402.66225,7228.024
"28",2019-01-02,4,28,1415.14325,2830.2865,9478.721,4314.167,1415.14325,7177.17
"29",2019-01-02,5,29,1412.33,2824.66,9316.081,4162.811,1412.33,7244.241
