"","date","hour.ending","hour","solarTCR1","solarTCR2","solarTCR3","solarTCR4","solarTCR5","windTCR1","windTCR2","windTCR3","windTCR4","windTCR5"
"1",2019-01-01,1,1,-1.12557393934778,0,-1.37735624952793,0,-2.02094430241347,5286.74160316821,0,3818.9715104267,0,431.579374823304
"2",2019-01-01,2,2,-1.12557393934778,0,-1.39030944309716,0,-2.10983447871626,4640.99873805316,0,3806.75474068867,0,374.651482868202
"3",2019-01-01,3,3,-1.12557393934778,0,-1.4147765865057,0,-1.91898204136026,4148.33158553404,0,3642.60746917575,0,356.8125641154
"4",2019-01-01,4,4,-1.09939780122341,0,-1.37591700579801,0,-2.09937681091593,3554.70811837921,0,3543.84293041564,0,273.716055305309
"5",2019-01-01,5,5,-1.09939780122341,0,-1.37303851833819,0,-2.09414797701577,3206.53334806188,0,3488.78089771113,0,271.605657913001
"6",2019-01-01,6,6,-1.09939780122341,0,-1.39318793055698,0,-2.0889191431156,2831.4132970571,0,3649.04734952504,0,305.455934790213
"7",2019-01-01,7,7,-1.07322166309904,0,-1.38599171190741,0,-1.91113879051002,2238.4808785938,0,3525.99707182148,0,320.50844520398
"8",2019-01-01,8,8,-0.157056828746201,0,1.16866590869036,0,16.2773599312112,1878.50209770009,0,3609.18765731721,0,383.733340276632
"9",2019-01-01,9,9,40.2589004352763,0,39.4122502999716,0,144.985106383753,1686.8835657055,0,3453.75639435572,0,434.818011174975
"10",2019-01-01,10,10,191.949620865982,0,83.0299707787525,0,342.240250850498,1786.19091456101,0,3352.52992100962,0,419.297732267037
"11",2019-01-01,11,11,317.411850896073,0,150.950760880865,0,528.938379672811,1693.86849485785,0,3587.46097902404,0,425.572978710439
"12",2019-01-01,12,12,239.59019225233,0,191.268295486953,0,714.575055213391,1445.56290160052,0,3822.89455884932,0,428.443305649756
"13",2019-01-01,13,13,467.374946210571,0,297.910498898678,0,604.136854408023,1291.4871348006,0,3691.19583855209,0,415.300720416509
"14",2019-01-01,14,14,415.991187072439,0,358.891255735145,0,430.364402986915,1258.10189831917,0,3639.58389256586,0,418.815977339485
"15",2019-01-01,15,15,264.693108713598,0,191.829600541619,0,297.07881245478,1246.7866782807,0,3337.42892944959,0,317.089539266515
"16",2019-01-01,16,16,141.927020910317,0,93.0802097447437,0,165.822009475908,1081.35776803851,0,2991.55034591592,0,237.326463745452
"17",2019-01-01,17,17,32.1181214785982,0,14.6183985647389,0,44.1182860326355,787.254748692005,0,2654.8945156169,0,203.651794309574
"18",2019-01-01,18,18,-1.09939780122341,0,2.34884576722004,0,-2.13859306516716,612.45735313991,0,2454.58678808368,0,186.34280597708
"19",2019-01-01,19,19,-1.09939780122341,0,2.18045425082007,0,-2.25885624487094,613.554322709181,0,2318.66941829862,0,136.692521524318
"20",2019-01-01,20,20,-1.07322166309904,0,2.1732580321705,0,-2.17519490246831,613.721466600018,0,1699.53721008182,0,149.825782468645
"21",2019-01-01,21,21,-1.09939780122341,0,2.17757576336025,0,-2.31375900082266,435.371912225022,0,1113.50387542418,0,146.263904101067
"22",2019-01-01,22,22,-1.07322166309904,0,2.15598710741153,0,-2.02094430241347,241.338923521628,0,694.151535695569,0,152.792460393472
"23",2019-01-01,23,23,-1.09939780122341,0,2.1531086199517,0,-2.01310105156322,182.823111453264,0,547.588304690477,0,131.250244891135
"24",2019-01-01,24,24,-1.09939780122341,0,2.15166937622179,0,-2.19349582111889,185.125202521171,0,338.425213817937,0,132.106525423655
"25",2019-01-02,1,25,-1.09939780122341,0,2.17181878844059,0,-1.9137532074601,172.898416220911,0,221.451649440691,0,148.590314186697
"26",2019-01-02,2,26,-1.07322166309904,0,2.13151996400299,0,-2.09676239396585,210.491745953989,0,154.248858700637,0,147.476061660714
"27",2019-01-02,3,27,-1.09939780122341,0,2.15886559487136,0,-2.00264338376289,244.282903313167,0,149.341881018097,0,154.776979885356
"28",2019-01-02,4,28,-1.12557393934778,0,2.1329592077329,0,-1.92421087526043,238.035373679215,0,147.84698420259,0,133.875032222216
"29",2019-01-02,5,29,-1.07322166309904,0,2.10993130805428,0,-2.41310684492578,249.113221301288,0,151.985399115576,0,137.886030506124
"30",2019-01-02,6,30,-1.09939780122341,0,2.12144525789359,0,-2.04970288886437,253.284795719642,0,84.2251892239771,0,156.413392590879
"31",2019-01-02,7,31,-1.07322166309904,0,2.17037954471067,0,-2.05231730581445,198.186303705101,0,9.27765057533606,0,136.571305768353
"32",2019-01-02,8,32,-0.261761381243669,0,7.95326085150609,0,10.3426334545248,188.65207907487,0,-16.4607564600182,0,132.112741616268
"33",2019-01-02,9,33,37.9292241422076,0,75.9416954089249,0,116.506262546509,417.038053341933,0,-16.4945394388997,0,134.41739502775
"34",2019-01-02,10,34,90.7264947390557,0,175.833845727353,0,170.135797443543,747.97452977494,0,-16.5409910348618,0,160.352904659731
"35",2019-01-02,11,35,178.023915383819,0,260.445545365281,0,311.693403205739,836.697035257822,0,-15.9117830531936,0,128.869443120136
"36",2019-01-02,12,36,185.850580683005,0,296.458301975195,0,495.965353098376,1591.93459914633,0,-2.66885533163968,0,114.298687633921
"37",2019-01-02,13,37,157.161533298699,0,284.944352135881,0,435.376240280223,2714.42100089469,0,49.7834422542725,0,70.643920956951
"38",2019-01-02,14,38,125.540758444464,0,196.925962589246,0,446.199926453563,3428.43301570808,0,150.574959747272,0,66.9903537483235
"39",2019-01-02,15,39,64.5765327528131,0,131.57422254503,0,321.889629311059,4186.54152172154,0,255.483777791457,0,35.8845259100039
"40",2019-01-02,16,40,29.6837406330321,0,57.0660138910996,0,209.119368586217,5216.85438824092,0,468.7303862363,0,25.646456675449
"41",2019-01-02,17,41,2.48673312181486,0,4.8919894379785,0,31.5455549196907,5134.69544075702,0,750.125708829879,0,31.3591376873227
"42",2019-01-02,18,42,-1.09939780122341,0,-1.37735624952793,0,-2.05493172276453,5060.78132217404,0,1285.59014697425,0,45.2538822268119
"43",2019-01-02,19,43,-1.07322166309904,0,-1.34857137492964,0,-2.02355871936355,5083.73621803908,0,1746.41109327992,0,53.5089860176369
"44",2019-01-02,20,44,-1.07322166309904,0,-1.34569288746981,0,-2.02094430241347,4965.91241613401,0,2049.45285959183,0,59.4376797228322
"45",2019-01-02,21,45,-1.09939780122341,0,-1.32842196271084,0,-2.11244889566634,4926.84288279363,0,1737.14611132166,0,29.1943486096459
"46",2019-01-02,22,46,-1.07322166309904,0,-1.39174868682707,0,-1.92682529221051,5018.51358177959,0,1426.00065295055,0,19.6260741292035
"47",2019-01-02,23,47,-1.09939780122341,0,-1.39174868682707,0,-2.46539518392742,4765.24564090608,0,1235.24928556843,0,52.1056805351228
"48",2019-01-02,24,48,-1.09939780122341,0,-1.35288910611939,0,-2.01832988546338,4041.92553731477,0,1425.55302848037,0,99.6238109214286
"49",2019-01-03,1,49,-1.07322166309904,0,-1.40614112412621,0,-2.01310105156322,3662.22096816133,0,2092.458591708,0,127.362016411345
