id,year,suffix,EVdataFile,isControlledCharging,isTransmissionConstraints,isEmissionsPrice,GAMSpath,optWindow,callGAMS,dataFileName,dStart,dEnd,systemCosts,modeledLMPs,actualLMPs,load,gLevel,gRuntime,gStartups,gNetRevenue,gVC,gStartupC,gNLC,sSOC,sCharge,sDischarge,sNetRevenue,sVC,gNOX,gSO2,gN2O,gCO2,gCO2eqv,gCO,gNH3,gPM10,gPM25,gVOC,MDtotal,MDNH3,MDSO2,MDVOC,MDNOX,MDPM25,MDPM10,gStartupNOX,gStartupSO2,gStartupCO2,StartupMDPM10,StartupMDPM25,wind
1,2010,,,0,1,0,C:\GAMS\win64\31.2,48,C:\GAMS\win64\31.2\gams,PHORUM,1,365,2,1,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2
2,2010,,PHEV20_2021GREET,0,1,0,C:\GAMS\win64\31.2,48,C:\GAMS\win64\31.2\gams,PHORUM,1,365,2,1,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2
3,2010,,PHEV20_2021GREET,1,1,0,C:\GAMS\win64\31.2,48,C:\GAMS\win64\31.2\gams,PHORUM,1,365,2,1,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2
4,2010,,BEV300_2021GREET,0,1,0,C:\GAMS\win64\31.2,48,C:\GAMS\win64\31.2\gams,PHORUM,1,365,2,1,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2
5,2010,,BEV300_2021GREET,1,1,0,C:\GAMS\win64\31.2,48,C:\GAMS\win64\31.2\gams,PHORUM,1,365,2,1,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2
6,2019,,,0,1,0,C:\GAMS\win64\31.2,48,C:\GAMS\win64\31.2\gams,PHORUM,1,365,2,1,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2
7,2019,,PHEV20_2021GREET,0,1,0,C:\GAMS\win64\31.2,48,C:\GAMS\win64\31.2\gams,PHORUM,1,365,2,1,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2
8,2019,,PHEV20_2021GREET,1,1,0,C:\GAMS\win64\31.2,48,C:\GAMS\win64\31.2\gams,PHORUM,1,365,2,1,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2
9,2019,,BEV300_2021GREET,0,1,0,C:\GAMS\win64\31.2,48,C:\GAMS\win64\31.2\gams,PHORUM,1,365,2,1,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2
10,2019,,BEV300_2021GREET,1,1,0,C:\GAMS\win64\31.2,48,C:\GAMS\win64\31.2\gams,PHORUM,1,365,2,1,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2
